Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Indication,MOA,Phase,Economics,,,Price,20.0,
,NTLA-2001,ATTR amyloidosis,CRISPR,III,REGN,,,Shares,96.475,Q224
,NTLA-2002,HAE,CRISPR,III 2H24,1,,,MC,1929.5,
,NTLA-3001,AATD,CRISPR insertion,I 2H24,1,,,Cash,939.9,Q224
,NTLA-5001,AML,TCR,,,,,Debt,0.0,Q224
,,Hemophilia A,,,,,,EV,989.6,
,,Hemophilia B,,,,,,,,
,,Primary Hyperoxaluria,,,,,,AD,1765.815,Q124
,NTLA-6001,CD30+ lymphomas,,,,,,PIC,2802.889,Q124
,,Sickle Cell,,,NVS,,,,,
,,,,,,,,,,
,YE23: initiate pivotal trial for NTLA-2001,,,11/30/2022: Proposes secondary.,,,,CEO: John Leonard,,
,,,,11/30/2022: Prices secondary of 6.6m at 45.80 for $300m gross.,,,,,,
,,,,,,,,,,
,,,,4/11/2016: REGN deal. $75m upfront.,,,,,,
,"LAG3, TIM3, PD1, KLKB1, GAA, TRBC1, TRBC2 and/or TRAC, HAO1, Factor IX, TCF4",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Rewrite Therapeutics acquisition,,,,,,,,,
,"AvenCell Therapeutics investment, privately held CART company, formed with Cellex",,,,,,,,,
,SparvingVision (ocular),,,,,,,,,
,"Regeneron: ATTR is 1st of 10 liver targets, hemophilia A/B included",,,,,,,,,
,Kyverna (CD19 cell therapy),,,,,,,,,
,ONK Therapeutics,,,,,,,,,
,Novartis,,,,,,,,,
