Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,Price,6.84,
,,,,,,,,,,,Shares,140.3,Q324
,,,,,,,,,,,MC,959.652,
,,,,,,,,,,,Cash,308.247,Q324
,,,,,,,,,,,Debt,344.498,Q324
,,,,,,,,,,,EV,995.903,
