Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,"Tremfya, fka CNTO1959",
,Generic,guselkumab,
,Indication,"Psoriasis, Ulcerative Colitis",
,Regulatory,IND submitted 4/30/2009,
,,FDA approved 7/13/2017,
,Mechanism,"p19 mab, expressed on IL-23. Also binds CD64?",
,Administration,subcutaneous,
,Clinical Trials,,
,,"Phase III ""VOYAGE 1"" n=837 plaque psoriasis vs. Humira",
,,PASI90 week 16: 73% vs. 50% (Humira) vs. 3% (placebo),
,,,
,,,
,,,
,,"Phase III ""VOYAGE 2"" n=993 plaque psoriasis vs. Humira",
,,PASI90 week 16: 70% vs. 47% (Humira) vs. 2% (placebo),
,,,
,,,
,,,
,,"Phase III ""NAVIGATE"" n=871 plaque psoriasis vs. Stelara",
,,PE: # of visits at which IGA score >= 1 with >= 2 grade improvement from week 16,
,,,1.5 guselkumab vs. 0.7 Stelara
,,,
,,,
,,Phase II rheumatoid arthritis vs. Stelara vs. placebo - NCT01645280,
,,"Stelara ACR20: 53.6%, guselkumab ACR20: 41.3%, placebo: 40.0%",
,,,
,,,
,,Phase III Crohn's,
,,,
,,,
,,,
,,,
,,"Phase III ""PROTOSTAR"" pediatric plaque psoriasis",
,,,
,,,
,,"Phase III ""DISCOVER 1"" PsA",
,,,
,,,
,,"Phase III ""DISCOVER 2"" PsA",
,,,
,,,
,,,
,,"Phase III ""ASTRO"" 400mg subcutaneous induction UC - NCT05528510",
,,,
,,,
,,"Phase III ""GRAVITI"" 400mg subcutaneous induction Crohn's Disease - NCT05197049",
,,,
,,,
,,"Phase III ""QUASAR"" induction+maintenance UC - NCT04033445",
