Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,1995,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,,,,,,,,
,Revenue,,1525.0,1525.0,1607.0,1936.0,1976.0,2199.0,2386.0,2639.0,2837.0,3099.0,3213.0,3592.0,3840.0,3848.0,4117.360000000001,4405.575200000001,4713.965464000002,5043.9430464800025,5397.019059733603,5774.810393914956,6179.047121489003,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q106: grew 2% on strong GYNECARE and DERMABOND.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008: Sold Professional Wound Care business for $500m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008: Purchased SurgRx (energy-based instruments).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008: Purchased Omrix.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ExoSeal launch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethicon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Sutures,1480,1555.0,1562.1699999999998,1585.3392,1645.0631504999997,1618.0,1672.0,1727.0,1869.94,1982.6162,2084.87921,2151.5647748599995,2213.1244580812795,2272.109889180578,2332.7167171599926,,0.05067567567567568,0.004610932475884145,0.014831420395987664,0.03767266367979785,-0.01645113167344008,0.03337453646477132,0.03289473684210526,0.0827678054429647,0.06025658577280548,0.051579831739496595,0.03198533734719309,0.028611587222739158,0.026652559409350844,0.026674250337985154
,    U.S.,590,605.0,607.42,628.6796999999999,666.4004819999999,651.0,668.0,683.0,669.34,655.9532,705.14969,726.3041807,740.8302643139999,755.64686960028,770.7598069922856,,0.025423728813559324,0.004,0.035,0.06,-0.02310995027161445,0.026113671274961597,0.02245508982035928,-0.02,-0.02,0.075,0.03,0.02,0.02,0.02
,    International,890,950.0,954.7499999999999,956.6594999999999,978.6626684999998,967.0,1004.0,1044.0,1200.6,1326.6629999999998,1379.7295199999999,1425.2605941599998,1472.2941937672797,1516.4630195802981,1561.956910167707,,0.06741573033707865,0.005,0.002,0.023,-0.011916944290799593,0.038262668045501554,0.0398406374501992,0.15,0.105,0.04,0.033,0.033,0.03,0.03
