Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,Price,21.0,
,,,,,,,,,,,,,Shares,237.44796100000002,Q324
,,,,,,,,,,,,,MC,4986.4071810000005,
,,,,,,,,,,,,,Cash,418.538,Q324
,,,,,,,,,,,,,Debt,196.089,Q324
,,,,,,,,,,,,,EV,4763.958181,
