Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,Q126,Q226,Q326,Q426,,,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,NVDA Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Center,,,,,,,,,1293,,,,1295,1321,,2282,2337,2834,3549,3859,3674,3240,4258.8,5016.7,4225.099999999999,3725.9999999999995,6388.200000000001,8026.72,,,,,,,,,,,,,,,,,,,6043.0,6496.0,12600.0,16189.5,22366.02,33549.03,50323.545,70452.96299999999,98634.14819999998,,,,,
,Client,,,,,,,,,2124,,,,739,998,,1461,1368,1492,1881,2313,2294,2499,2699,2891.25,2523.4,2748.9,2968.9,3469.5,,,,,,,,,,,,,,,,,,,6201.0,4651.0,7100.0,10383.25,11710.7,12881.770000000002,14169.947000000004,15586.941700000005,17145.635870000006,,,,,
,Gaming,,,,,,,,,1875,,,,1757,1581,,1368,922,648,462,563,647,1122,1222,675.6,711.7,1234.2,1344.2,810.72,,,,,,,,,,,,,,,,,,,6805.0,6212.0,2600.0,3666.6,4100.820000000001,4510.902000000001,4961.9922000000015,5458.191420000002,6004.010562000002,,,,,
,Embedded,,,,,,,,,595,,,,1562,1459,,1057,846,861,927,923,823,824,1019.7,1061.4499999999998,905.3000000000001,906.4000000000001,1121.67,1273.7399999999998,,,,,,,,,,,,,,,,,,,4552.0,5321.0,3600.0,3728.1499999999996,4207.110000000001,4627.821000000001,5090.603100000001,5599.663410000002,6159.629751000002,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,,,,,5887,6550,5565,5599,5353,5359,5800,6168,5473,5835,6819,7658,7438,7685,9246,9645,8850,9530,11822.970000000001,13580.68,,,,,,,,,,5299.0,5506.0,3991.0,4272.0,5329.0,6475.0,6731.0,9763.0,16434.0,23601.0,22680.0,25785.0,34014.0,42384.65,55569.52300000001,74546.08730000001,97097.75953000001,127943.42438299999,134340.59560215,141057.62538225748,148110.50665137035,155516.03198393888,163291.83358313583
,COGS,,,,,,,,,2883,3115,2799,2753,2689,2704,2843,3042,2683,2734,3167,3524,3446,4359,4206,4436.7,4071,4383.799999999999,5438.5662,6247.1128,,,,,,,,,,,,,,3466.0,4028.0,3863.0,5416.0,8505.0,11550.0,11278.0,12108.0,15986.579999999998,19920.785499999998,26117.67581,35036.661031,45635.9469791,60133.40946000999,63140.07993301049,66297.083929661,69611.93812614406,73092.53503245127,76747.16178407383
,Gross Margin,,,,,,,,,3004,3435,2766,2846,2664,2655,2957,3126,2790,3101,3652,4134,3992,3326,5040,5208.3,4779,5146.200000000001,6384.403800000001,7333.5672,,,,,,,,,,,,,,1863.0,2447.0,2868.0,4347.0,7929.0,12051.0,11402.0,13677.0,18027.420000000002,22463.864500000003,29451.847190000008,39509.42626900001,51461.81255090001,67810.01492299,71200.5156691395,74760.54145259647,78498.56852522629,82423.49695148761,86544.671799062
,R&D,,,,,,,,,1060,1300,1279,1366,1411,1443,1507,1511,1525,1583,1636,1712,1728,1894,2139,1883.2,1900.8000000000002,2083.4,2352.9,2071.5200000000004,,,,,,,,,,,,,,1196.0,1434.0,1547.0,1983.0,2845.0,5005.0,5872.0,6456.0,7101.6,7811.760000000001,8592.936000000002,9452.229600000002,10397.452560000003,11437.197816000005,,,,,
,MS&A,,,,,,,,,597,592,557,590,585,547,576,644,620,650,721,792,886,991,1069,871.2,974.6,1090.1000000000001,1175.9,958.3200000000002,,,,,,,,,,,,,,516.0,562.0,750.0,995.0,1448.0,2336.0,2352.0,2783.0,3061.3,3367.4300000000003,3704.1730000000007,4074.590300000001,4482.049330000002,4930.2542630000025,,,,,
,Operating Expenses,,,,,,,,,1657,1892,1836,1956,1996,1990,2083,2155,2145,2233,2357,2504,2614,2885,3208,2754.4,2875.4,3173.5,3528.8,3029.8400000000006,,,,,,,,,,,,,,1712.0,1996.0,2297.0,2978.0,4293.0,7341.0,8224.0,9239.0,10162.900000000001,11179.190000000002,12297.109000000002,13526.819900000004,14879.501890000005,16367.452079000008,0.0,0.0,0.0,0.0,0.0
