Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Biologics,,,,,260.8,412.2,503.7,,511.3,503.7,674.6,,,,,,,,,
,Bioepis,,,,,166.7,187.5,232.8,,199.1,232.8,269.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,260.8,412.2,450.7,,511.3,651.4,873,,,,,,946.903,,,
,COGS,,,,,,,,,,,,,,,,,526.749,,,
,Gross Profit,,,,,,,,,,,,,,,,,420.154,,,
,SG&A,,,,,,,,,,,,,,,,,198.854,,,
,OP,,,,,,166.8,167.4,,176.4,169.7,324.7,,,,,,221.29999999999998,,,
,EBITDA,,,,,,,201.2,,,,409.4,,,,,,,,,
,Interest Income,,,,,,,,,,,,,,,,,18.79999999999999,,,
,Pretax Income,,,,,,,,,,,,,,,,,240.09999999999997,,,
,Taxes,,,,,,,,,,,,,,,,,60.715,,,
,NP,,,,,,121.5,131.8,,146.9,152,129.2,,,,,,179.38499999999996,,,
,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,114.5,,,213,-15.7,436.1,,,,,,,,,
,CX,,,,,,-113.3,,,-302.2,-179.5,-284.5,,,,,,,,,
,Acquisitions,,,,,,0,,,0,-1069.9,-12.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.9605061349693251,0.5803008248423096,0.9369869092522742,,,,,,,,,
