Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,Price,247.0,
,,,,,,,Shares,115.959118,2025-02-20 00:00:00
,,,,,,,MC,28641.902146,
,,,,,,,Cash,423.3,Q125
,,,,,,,Debt,796.7,Q125
,,,,,,,EV,29015.302146,
