4. Product Forecasts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Table of Contents
,,,,,,,,,
,,,,,,,,,
,,FY21 Reported,,FY22 Reported Forecasts,,,,FY22 CER Growth Forecasts,
,(Bn JPY),Annual,,Annual,YOY,,,,
,"Assumption of FX rates for FY22 Reported Forecasts : 1 USD = 119 JPY, 1 Euro = 133 JPY, 1 RUB = 1.3 JPY, 1 BRL = 24.0  JPY, 1 CNY = 18.8 JPY",,,,,,,,
,CER (Constant Exchange Rate) eliminates the effect of foreign exchange rates by translating results of operations using corresponding exchange rates in the same period of the previous fiscal year.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,FY21 Reported,,FY21 Reported Forecasts,,,,FY22 CER Growth Forecasts,
,(Bn JPY),Annual,,Annual,YOY,,,,
PDT Immunology,,507,,+20% to +30%,,,,+10% to +20%,
,immunoglobulin *1,385.9,,+20% to +30%,,,,+10% to +20%,
,albumin *1,90,,+20% to +30%,,,,+10% to +20%,
,Others *1  *2,31.1,,0% to +10%,,,,0% to +10%,
Oncology,,468.7,,Low-single-digit decrease,,,, Mid-single-digit decrease ,
,VELCADE,110,,47,-63,-0.5700000000000001,,-0.61,
,LEUPLIN/ENANTONE,106.5,,106,-0.5,-0%,,-0.03,
,NINLARO,91.2,,103,11.8,0.13,,0.08,
,ADCETRIS,69.2,,75,5.8,0.08,,0.07,
,ICLUSIG,34.9,,41,6.1,0.18,,0.1,
,VECTIBIX,24.7,,24,-0.7,-0.03,,-0.03,
,ALUNBRIG,13.6,,26,12.4,0.91,,0.85,
,ZEJULA,8,,12,4,0.5,,0.5,
,CABOMETYX ,6.4,,8,1.6,0.26,,0.26,
,EXKIVITY,1,,+>300%,,,, +>300% ,
,Others,3.3,,+>30%,,,, +>30% ,
Neuroscience,,482.3,,High-single-digit growth,,,, Low-single-digit growth ,
,VYVANSE/ELVANSE,327.1,,372,44.9,0.14,,0.07,
,TRINTELLIX,82.3,,95,12.7,0.15,,0.09,
,INTUNIV,18.9,,19,0.1,0,,-0.04,
,ADDERALL XR,20.9,,9,-11.9,-0.5700000000000001,,-0.59,
,ROZEREM,11.7,,8,-3.7,-0.31,,-0.3,
,Others *3,21.4,,-10% to -5%,,,, -10% to -5% ,
Others,,624.2,,->30%,,,,-20% to -10%,
,AZILVA-F *4,76.3,,73,-3.3,-0.04,,-0.04,
,LOTRIGA,32.7,,13,-19.7,-0.6,,-0.6,
,FOSRENOL,13.6,,11,-2.6,-0.19,,-0.2,
,ACTOVEGIN,13.4,,12,-1.4,-0.11,,-0.03,
,*1 PDT products,,,,,,,,
,"*2 Others in PDT Immunology include ARALAST, GLASSIA, CEPROTIN, ANTITHROMBIN III, KENKTSU-NONTHRON and others",,,,,,,,
,"*3 Others in Neuroscience include REMINYL, COPAXONE, AZILECT, MYDAYIS, BUCCOLAM, EQUASYM and CARBATROL",,,,,,,,
,*4 The figures include the amounts of fixed dose combinations.,,,,,,,,
,"Average FX rates for FY21: 1 USD = 112 JPY, 1 Euro = 131 JPY, 1 RUB = 1.5 JPY, 1 BRL = 20.9 JPY, 1 CNY = 17.4 JPY",,,,,,,,
,"Assumption of FX rates for FY22 Reported Forecasts : 1 USD = 119 JPY, 1 Euro = 133 JPY, 1 RUB = 1.3 JPY, 1 BRL = 24.0  JPY, 1 CNY = 18.8 JPY",,,,,,,,
,CER (Constant Exchange Rate) eliminates the effect of foreign exchange rates by translating results of operations using corresponding exchange rates in the same period of the previous fiscal year.,,,,,,,,
