Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,1995,1996,1997,1998,1999,2000.0,2001.0,2002.0
,Revenue,56,88,102,113,187,,,
