Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Name,Indication,Mechanism,Economics,Approved,IP,,Price,280.0,
,Aranesp (darbepoetin alfa),Chemo- and CRF-related anemia,Recombinant Protein,1,2001,"Not issued yet, >2028",,Shares,541.0,Q125
,Enbrel (etanercept),"RA, Psoriasis, PsA, AS, JRA",TNF-A soluble receptor,"71%, 0% ROW?",,2009,,MC,151480.0,
,Neulasta (pegfilgrastim),Chemo-induced neutropenia,Recombinant Protein,1,,2015,,Cash,8810.0,Q125
,EPOGEN (Epoetin alfa),ESRD-related anemia,Recombinant Protein,1,1989,"EU 2004, US 2012-15",,Debt,57381.0,Q125
,Vectibix (panitumumab),3L mColorectal Cancer,EGFr antibody,1,2006,Antibody,,EV,200051.0,
,Lumakras (sotorasib),KRAS G12C+ NSCLC,KRAS inhibitor,1,,,,,,
,Prolia (denosumab),Osteoarthritis,RANK antibody,GSK Ex-US,2010-07-25 00:00:00,2025,,CEO: Robert Bradway,,
,Krypolis (carfilzomib),Multiple Myeloma,,,2012-07-20 00:00:00,,,R&D: Jay Bradner,,
,Evenity (romosozumab),Osteoarthritis,,UCB,,2026-2033,,CCO: Murdo Gordon,,
,Parsabiv (etelcalcetide),,,,,,,Rare Disease: Vikram Karnani,,
,Bkemv (eculizumab),,,,,,,,,
,Amgevita (adalimumab),"RA, Psoriasis, PsA, AS, JRA",TNF-A mab,,,,,,,
,Tavneos (avacopan),ANCA-vasculitis,C5aR antagonist,100%?,2021-10-07 00:00:00,,,,,
,Otezla (apremilast),Psoriatic Arthritis,PDE4 inhibitor,1,2014-03-21 00:00:00,2028,,,,
,Imdelltra (tarlatamab),ES-SCLC,DLL3-CD3,1,2024-05-16 00:00:00,,,,,
,Tezspire (tezepelumab),Asthma,TSLP mab,AZN?,2021-12-17 00:00:00,,,,,
,Tepezza (teprotumumab),TED,IGF-1R mab,,2020-01-21 00:00:00,2029,,,,
,Uplizna (inebilizumab),NMOSD,CD19 mab,100%?,2020-06-11 00:00:00,,,,,
,Krystexxa (pegloticase),Gout,uricase,100%?,2010-09-04 00:00:00,,,,,
,Repatha (evolocumab),Cholesterol,PCSK9,1,2015-08-27 00:00:00,,,,,
,Blincyto (blinatumomab),ALL,CD19xCD3,1,2014-12-03 00:00:00,,,,,
,Nplate (romiplostim),ITP,TPO agonist,1,2008,Peptibody,,,,
,,,,,Phase,Comments,,,,
,maridebart cafraglutide,"T2D, Obesity","GIPR, GLP-1 agonist",,,,,,,
,AMG890 (olpasiran),Cardiovascular,LP(a) siRNA,,III,,,,,
,AMG509 (xaluritamig),mCRPC,STEAP1xCD3,,III,,,,,
,bemarituzumab,Gastric Cancer,FGFR2b mab,,III,,,,,
,AMG451/KHK4083 (rocatinlimab),atopic dermatitis,OX40 mab,KHK,III,,,,,
