Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2021.0,2022.0,2023.0
,Members,,,4742.673,5222.533,5655.711,6240,6957,7542,8132,8774,,,,,,
,,,,,,,,,,,,,,,,,
,Loans,,,,,,,,,,,,,,351.971,759.504,1944.128
,Other,,,,,,,,,,,,,,3.049,13.867,106.939
,Interest Income,,,,,,,,,,,,,,355.02,773.371,2051.067
,Securitizations,,,,,,,,,,,,,,,,244.22
,Deposits,,,,,,,,,,,,,,,,507.82
,Corporate,,,,,,,,,,,,,,,,36.833
,Other,,,,,,,,,,,,,,,,0.454
,Expense,,,,,,,,,,,,,,0.0,0.0,789.3269999999999
,Operating Income,,,,,,,,,,,,,,355.02,773.371,1261.7400000000002
,,,,,,,,,,,,,,,,,
,Origination,,,,,,,,,,,,,,,,371.812
,Servicing,,,,,,,,,,,,,,,,37.328
,Software,,,,,,,,,,,,,,,,323.972
,Other,,,,,,,,,,,,,,,,127.937
,Revenue,,,,,,,,,,,,,,,,861.049
,,,,,,,,,,,,,,,,,
,R&D,,,,,,,,,,,,,,,,511.419
,S&M,,,,,,,,,,,,,,,,719.4
,Operating Costs,,,,,,,,,,,,,,,,379.998
,G&A,,,,,,,,,,,,,,,,511.011
,Credit Loss,,,,,,,,,,,,,,,,54.945
,Operating Expenses,,,,,,,,,,,,,,,,2176.773
,Operating Income,,,,,,,,,,,,,,,,-53.983999999999924
