Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,2022.0,2023.0
,Revenue,418.925,650.351
,COGS,216.758,373.492
,Gross Profit,202.167,276.859
,R&D,6.348,12.65
,S&M,13.335,17.12
,G&A,48.343,70.568
,Operating Expenses,68.02600000000001,100.338
,Operating Income,134.141,176.521
