Main,Unnamed: 1,Unnamed: 2
,5HT-1A,ulotaront is agonist
,5HT-2A,serotonin subreceptor implicated in depression and psychosis
,D2,dopamine subreceptor implicated in psychosis
,M1,
,M4,muscarinic receptor implicated in psychosis; emraclidine pam
,NMDA,implicated in depression
,PDE10A,implicated in schizophrenia; MK-8189 inhibitor
