Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131
,SG&A,291.59999999999997,285.8,296.4,298.7,303.8,326.20000000000005,327.2,345.19999999999976,314.03,361.7,343.56,362.45999999999975,,,1105.2,1172.5,1302.3999999999999,1381.7499999999998,1450.8374999999999,1523.379375,1599.54834375,1679.5257609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,12.00000000000017,85.69999999999999,132.9000000000002,213.00000000000006,191.7,267.8000000000002,300.3999999999999,338.20000000000033,252.3699999999999,379.5000000000003,397.44,473.54000000000025,,,417.5000000000007,443.60000000000036,1098.100000000001,1502.8500000000006,1932.3727999999999,2367.31247,2992.491899625,3601.3205189437485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,-29.3,-33.4,-38.8,-45.800000000000026,-46.8,-46.9,-43.5,46.6,-39,-44.8,-42.8,-40.8,,,-180.1,-147.3,-90.6,-167.39999999999998,-137.39999999999998,-107.39999999999998,-77.39999999999998,-47.39999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,-17.29999999999983,52.29999999999999,94.10000000000021,167.20000000000005,144.89999999999998,220.90000000000018,256.8999999999999,384.80000000000035,213.3699999999999,334.7000000000003,354.64,432.74000000000024,,,237.4000000000007,296.30000000000035,1007.500000000001,1335.4500000000007,1794.9728,2259.9124699999998,2915.0918996249998,3553.9205189437484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,11.9,11.4,10.2,56.9,37.4,29.7,51.7,-45.3,0,86.6,53.196,64.91100000000003,,,46.6,90.4,73.5,204.70700000000002,269.24592,338.98687049999995,437.26378494374995,533.0880778415623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,-29.199999999999832,40.89999999999999,83.9000000000002,110.30000000000004,107.49999999999997,191.2000000000002,205.19999999999993,430.10000000000036,213.3699999999999,248.10000000000028,301.44399999999996,367.8290000000002,,,190.8000000000007,205.90000000000035,934.000000000001,1130.7430000000006,1525.72688,1920.9255994999999,2477.8281146812496,3020.8324411021863,3051.040765513208,3081.55117316834,3112.3666849000233,3143.4903517490234,3174.9252552665134,3206.6745078191784,3238.74125289737,3271.1286654263436,3303.839952080607,3336.878351601413,3370.247135117427,3403.9496064686014,3437.989102533287,3472.3689935586203,3507.0926834942065,3542.1636103291485,3577.58524643244,3613.3610988967644,3649.494709885732,3685.989656984589,3722.8495535544353,3760.0780490899797,3797.6788295808797,3835.6556178766887,3874.0121740554555,3912.75229579601,3951.87981875397,3991.3986169415098,4031.312603110925,4071.6257291420343,4112.341986433455,4153.465406297789,4195.000060360767,4236.950060964375,4279.319561574019,4322.112757189759,4365.333884761656,4408.987223609272,4453.077095845365,4497.607866803819,4542.583945471857,4588.009784926576,4633.889882775841,4680.2287816036,4727.031069419636,4774.301380113832,4822.044393914971,4870.264837854121,4918.967486232662,4968.157161094989,5017.838732705938,5068.017120032998,5118.697291233328,5169.884264145661,5221.583106787118,5273.798937854989,5326.536927233539,5379.802296505874,5433.600319470933,5487.936322665642,5542.8156858922985,5598.243842751222,5654.226281178734,5710.768543990522,5767.876229430427,5825.554991724732,5883.810541641979,5942.6486470584,6002.075133528983,6062.095884864273,6122.716843712916,6183.944012150045,6245.783452271546,6308.241286794261,6371.323699662204,6435.036936658826,6499.387306025414,6564.381179085668,6630.0249908765245,6696.32524078529,6763.288493193143,6830.921378125075,6899.230591906326,6968.222897825389,7037.905126803643,7108.284178071679,7179.367019852396,7251.16069005092,7323.6722969514285,7396.909019920943,7470.878110120153,7545.586891221355,7621.042760133568,7697.253187734904,7774.225719612253,7851.967976808375,7930.487656576459,8009.792533142224,8089.8904584736465,8170.789363058383,8252.497256688966,8335.022229255856,8418.372451548414,8502.556176063898,8587.581737824537,8673.457555202784,8760.192130754811,8847.79405206236
,EPS,-0.07690443833422836,0.10696971509518695,0.2222846291249323,0.29162612631668017,0.28164695854519106,0.5000640772483926,0.5285381440621066,1.1135967024488262,0.5627807943037012,0.6452737146542942,0.7840140654584797,0.9566722498491506,,,0.5297939690120528,0.544386395363595,2.4182732389844315,2.9409058280102385,3.9682041572168703,4.996061254187387,6.4444875124353675,7.856766507933112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,379.692,382.35121,377.444002,378.224,381.683511,382.351,388.240664,386.226,379.135184,384.488,384.488,384.488,,,360.14,378.224,386.226,384.488,384.488,384.488,384.488,384.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.31537530266343805,0.2391739316850079,0.17655796367564625,0.12740239332769265,0.07757543882716456,0.12611729427368656,0.11901755996786423,0.17937171652192552,,,,0.1387327184330045,0.20586840024598096,0.1280306562536424,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.1499999999999999,,Discount,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product GM,0.2279255945373205,0.2346919431279621,0.26149374669719927,0.2918564260903127,0.30931310577328275,0.3289473684210527,0.3526388185043075,0.35780499357196033,0.33377942218373613,0.36921296296296297,,,,,0.26928490228982843,0.2574677646298988,0.33858049240672583,,,,,,,Maturity,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Services GM,0.3583061889250814,0.35975609756097554,0.38299103268730106,0.37204121414647734,0.38404064554692174,0.39202568905539203,0.38887351231663436,0.3989677419354835,0.38611713665943603,0.42002012072434614,,,,,0.404909858074415,0.3686034508184634,0.39125660558643877,,,,,,,NPV,39261.1591268319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin %,0.2625389138706331,0.26547091610690293,0.28985213692525835,0.30925903541641486,0.32575110117677997,0.34254079926186504,0.36015149776196487,0.3663557413959473,0.3455554877676773,0.37955755837771415,0.38,0.38,,,0.3046557691922932,0.28394974962663627,0.34976395850332215,0.3725958743977577,0.38,0.38,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
