Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,Price,178.0,
,"Susquehanna nuclear facility - 2494MW, commissioned in 1983 for PPL",,,,,,,,,,Shares,51.00145,Q224
,,"Cumulus data campus - 48MW, AWS trying to get to 960MW.",,,,,,,,,MC,9078.2581,
,,,,,,,,,,,Cash,1115.0,Q224
,"3.2GW Brunner Island, Montour and Wagner Unit 3 - natural gas and oil",,,,,,,,,,Debt,2626.0,Q224
,,,,,,,,,,,EV,10589.2581,
,,,,,,,,,,,,,
,"2023 - 18,000 GWh all-in cost of less than $24 per MWh",,,,,,,,,,Capacity,10665.0,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Guidance: EBITDA: 720-780m, FCF: 245-285m",,,,,,,,,,,,
,5/9/22: Bankruptcy.,,,,,,,,,,,,
