Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,,,2021.0,2022.0
,Backlog,,,,,,119431,,,,181831,,,,,,
,Net Bookings,,,,,40700,44109,35900,43200,30600,25357,,,,,163900.0,
,,,,,,,,,,,,,,,,,
,Revenue,,,6583.413,11163,12438,12547,14235.697,20376,18686,19275,21000,22000,,,59600.0,80961.0
,COGS,,,7050.897,11668,8638,7289,10318.268,16148,15986,13842,,,,,,
,Gross Profit,,,-467.4840000000004,-505,3800,5258,3917.429,4228,2700,5433,,,,,,
,SG&A,,,6301.712,10481,9164,11382,16931.866,35646,30153,28183,,,,,,
,Operating Income,,,-6769.196000000001,-10986,-5364,-6124,-13014.437000000002,-31418,-27453,-22750,,,,,,
,Interest Income,,,1.554,6,0,4,0.151,-11,76,7,,,,,,
,Pretax Income,,,-6767.642000000001,-10980,-5364,-6120,-13014.286000000002,-31429,-27377,-22743,,,,,,
,Taxes,,,0,0,0,0,0,0,0,0,,,,,,
,Net Income,,,-6767.642000000001,-10980,-5364,-6120,-13014.286000000002,-31429,-27377,-22743,,,,,,
,EPS,,,-0.7940517590033372,-0.8149570295721781,-1.0084602368866329,-0.8515374982607485,-2.8591798108641617,-0.2880736236585796,-0.2164840030997454,-0.19606879606879607,,,,,,
,Shares,,,8522.923,13473.103,5319,7187,4551.755,109100.582,126462,115995,,,,,,
,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,1.1623581871591528,0.8253157753292126,0.5023315645602187,0.536223798517574,0.4751648619663653,0.0797016097369454,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Patients (000s),,,,,,,,,,567,,,,,,
