Energy,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
x,,EOG Resources,EOG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Enterprise Products Partners,EPD,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Williams,WMB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Energy Transfer LP,ET,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Equinor ASA,EQNR NO,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Canadian Natural Resources,CNQ CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,ONEOK,OKE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,American Electric Power,AEP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Kinder Morgan,KMI,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,National Grid PLC,NG/ LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Sempra,SRE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Phillips 66,PSX,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Barito Renewables Energy,BREN IJ,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Eni,ENI IM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Public Service Enterprise Group,PEG,,,,,,,,,,,,,,,,,,,,,,,,,,
