Energy,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,,,,,,,,,,,,,,,,EV/EPS,,,,,,EPS,,,,,,,
,,Name,Ticker,Price,MC,NC,EV,Update,SO,Last,NPV,Upside,ROIC,Terminal,Discount,2022,2023.0,2024.0,2025.0,2026.0,2027.0,2022,2023.0,2024.0,2025.0,2026.0,2027.0,Founded,Location
x,,Saudi Aramco,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Exxon Mobile,XOM,114.26,474800,,,,,,,,,,,,,,,,,,,,,,,,
x,,Chevron,CVX,148.6,277900,,,,,,,,,,,,,,,,,,,,,,,,
x,,Occidental Petroleum,OXY,51.25,30400,,,,,,,,,,,,,,,,,,,,,,,,
,,New Fortress Energy,NFE,9.52,1800,,,,,,,,,,,,,,,,,,,,,,,,
,,Quanta Services,PWR,314,45900,,,,,,,,,,,,,,,,,,,,,,,,
,,Talen Energy,TLN,178,9078.2581,-1511,10589.2581,Q224,51.00145,2024-10-17 00:00:00,,,,,,,,,,,,,,,,,,,
,,PrimeEnergy Resources,PNRG,167,292.545757,2.015,290.530757,Q224,1.751771,2024-10-17 00:00:00,,,,,,,,,,,,,,,,,,,
,,Profire Energy,PFIE,1.64,76.79362483999999,18.442514,58.35111083999999,Q224,46.825381,2024-10-01 00:00:00,,,,,,,,,,,,,,,,,,,
,,LandBridge,LB,64.75,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Shell,SHEL LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Petrochina,857 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Nextera Energy,NEE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,TotalEnergies,TTE FP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Enbridge,ENB CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Constellation Energy,CEG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Duke Energy,DUK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Petrobras,PETR4 BZ,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,ConocoPhillips,COP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,China Shenhua Energy,1088 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Abu Dhabi National Energy,TAQA UH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,China Yangtze Power,600900 CH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,BP,BP/ LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,CNOOC,883 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Southern,SO,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Adnoc Gas plc,ADNOCGAS UH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Marathon Petroleum,MPC US,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Suncor Energy,SU CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,TC Energy,TRP CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Iberdrola,IBE SM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,China Petroleum & Chemical,386 HK,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,EQT Corp,EQT US,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,ACWA Power,ACWA AB,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Vistra,VST,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,MPLX LP,MPLX,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,United Overseas Bank,UOB SP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Caixabank,CABK SM,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,American International Group,AIG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Dominion Energy,D,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Cheniere Energy,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Diamondback,FANG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Hess,HES,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Targa Resources,TRGP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Exelon,EXC,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,PG&E,PCG,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Valero,VLO,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Xcel Energy,XEL,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Imperial Oil Ltd,IMO CN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Entergy,ETR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Dubai Electricity & Water,DEWA UH,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,NTPC Ltd,NTPC IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Oil & Natural Gas Corp Ltd,ONGC IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Consolidated Edison,ED,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,Enel,ENEL IM,,,,,,,,,,,,,,,,,,,,,,,,,,
