Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,2023-02-12 00:00:00,2023-05-07 00:00:00,2023-09-03 00:00:00,2023-11-26 00:00:00,2024-02-18 00:00:00,2024-05-12 00:00:00,2024-09-01 00:00:00,2024-11-24 00:00:00,2025-02-16 00:00:00,2025-05-12 00:00:00,2025-08-31 00:00:00,2025-11-24 00:00:00,2026-02-16 00:00:00,2026-05-12 00:00:00,2026-08-31 00:00:00,,,,,
,,,,,,FQ124,FQ224,FQ324,FQ424,FQ125,FQ225,FQ325,FQ425,FQ126,FQ226,FQ326,FQ426,,,,FY25,FY26
,Merchandise,,54239,52604,77430,56717,57331,57392,78185,60985,62530,61965,84432,,,,,,,,269912,
,Fees,,1027,1044,1509,1082,1111,1123,1512,1166,1193,1240,1724,,,,,,,,5323,
,Revenue,,55266,53648,78939,57799,58442,58515,79697,62151,63723,63205,86156,,,,,,,,275235,
,COGS,,48423,47175,69219,50457,51140,51173,69588,54109,55744,54996,75037,,,,,,,,239886,
,Gross Profit,,6843,6473,9720,7342,7302,7342,10109,8042,7979,8209,11119,,,,,,,,35349,
,SG&A,,4940,4794,6939,5358,5240,5145,7067,5846,5663,5679,7778,,,,,,,,24966,
,Operating Income,,1903,1679,2781,1984,2062,2197,3042,2196,2316,2530,3341,,,,,,,,10383,
,Interest,,80,92,182,122,175,87,71,110,106,50,169,,,,,,,,435,
,Pretax Income,,1983,1771,2963,2106,2237,2284,3113,2306,2422,2580,3510,,,,,,,,10818,
,Taxes,,517,469,803,517,494,603,759,508,634,677,900,,,,,,,,2719,
,Net Income,,1466,1302,2160,1589,1743,1681,2354,1798,1788,1903,2610,,,,,,,,8099,
,EPS,,3.2982732437144944,2.9300567107750473,4.859993925007593,3.575583423154209,3.919020402289805,3.7789887327236595,5.290161064504458,4.041439363799222,4.019007116429827,4.278692873941568,5.869046066389929,,,,,,,,18.207722938662187,
,Shares,,444.475,444.36,444.445,444.403,444.754,444.828,444.977,444.891,444.886,444.762,444.706,,,,,,,,444.81125,
,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,0.05746752071798222,0.09072099612287499,0.0096023511825587,0.0752954203359919,0.09036309503439299,0.08015038878919944,0.08104445587663278,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,5802,1541,3725,4651,731,2999,2958,3260,2748,3460,3867,,,,,,,,,
,CX,,-1947,-820,1145,-1040,-1031,-1062,-1577,-1264,-1137,-1131,-1966,,,,,,,,,
,FCF,,3855,721,4870,3611,-300,1937,1381,1996,1611,2329,1901,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,,,,,,,9133,9571,,,,,,,,,
,Cash,,,,,,,,,,,14850,15284,,,,,,,,,
,AR,,,,,,,,,,,2875,3203,,,,,,,,,
,Inventories,,,,,,,,,,,18606,18116,,,,,,,,,
,OCA,,,,,,,,,,,1820,1777,,,,,,,,,
,PP&E,,,,,,,,,,,30582,31909,,,,,,,,,
,ROU,,,,,,,,,,,2718,2725,,,,,,,,,
,OLTA,,,,,,,,,,,4031,4085,,,,,,,,,
,Assets,,,,,,,,,,,75482,77099,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,19820,19783,,,,,,,,,
,Salaries,,,,,,,,,,,4813,5205,,,,,,,,,
,Rewards/Fees,,,,,,,,,,,5514,5531,,,,,,,,,
,OCL,,,,,,,,,,,7432,6589,,,,,,,,,
,Debt,,,,,,,,,,,5717,5713,,,,,,,,,
,Lease,,,,,,,,,,,2463,2460,,,,,,,,,
,OLTL,,,,,,,,,,,2598,2654,,,,,,,,,
,SE,,,,,,,,,,,27125,29164,,,,,,,,,
,L+SE,,,,,,,,,,,75482,77099,,,,,,,,,
