,Cash App Card,,,,,,,,,24,24,24,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inflows,,,,,,,,,71.1,70.7,70,71.1,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hardware,37.326,48.051,43.388,35.653,37.451,44.922,42.341,32.464,32.501,42.96,36.839,31.069000000000003,28.69,,,,,,16.377,44.307,41.415,68.503,84.505,91.654,145.679,164.418,157.178,143.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Starbucks,,,,,,,,,,,,,,,,,,,142.283,78.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bitcoin,1730.793,1785.885,1762.752,1833.426,2163.751,2390.884,2423.584,2520.083,2731.124,2611.743,2428.608,2427.7299999999996,2301.402,,,,,,,,,166.517,516.465,4571.543,10012.647,7112.856,9498.302,10199.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,3960.6449999999995,4404.499,4515.540999999999,4650.902,4990.131,5534.957,5617.493,5773.508,5957.128000000001,6155.563,5975.801,6032.561,5771.796,0,0,0,,,1267.1173,1708.721,2214.2529999999997,3298.177,4713.5,9497.578,17661.203,17531.587,21915.623,24121.053,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transaction,716.236,875.762,901.99,870.0399999999996,820.787,950.523,984.658,946.048,873.165,1000.055,1011.476,996.317,903.822,,,,,,672.667,943.2,1230.29,1558.562,1937.971,1911.848,2719.502,3364.028,3702.016,3881.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Starbucks,,,,,,,,,,,,,,,,,,,165.438,69.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subscription,182.857,213.271,225.903,239.71400000000003,264.092,279.223,259.262,272.552,269.668,291.801,271.286,303.0580000000001,275.048,,,,,,22.47,43.132,75.72,169.884,234.27,222.712,483.056,861.745,1075.129,1135.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hardware,63.664,83.494,76.002,63.834999999999994,58.785,74.085,78.338,56.44199999999999,50.785,68.309,62.091,55.256,52.534,,,,,,30.874,68.562,62.393,94.114,136.385,143.901,221.185,286.995,267.65,236.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bitcoin,1687.459,1744.425,1726.051,1798.7980000000005,2113.375,2346.633,2378.906,2454.1989999999996,2651.01,2544.329,2364.077,2350.9699999999993,2236.115,,,,,,0.0,0.0,0.0,164.827,508.239,4474.534,9794.992,6956.733,9293.113,9910.385999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,2650.216,2916.9519999999998,2929.946,2972.387,3257.0389999999998,3650.464,3701.1639999999998,3729.2409999999995,3844.6280000000006,3904.494,3708.9300000000003,3705.6009999999997,3467.519,0,,,,,891.4490000000001,1124.655,1368.403,1987.387,2816.8650000000002,6752.994999999999,13218.735,11469.501,14337.908,15163.652999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,1310.4289999999996,1487.547,1585.5949999999993,1678.5149999999999,1733.0920000000006,1884.4930000000004,1916.3290000000006,2044.2670000000003,2112.5,2251.069,2266.871,2326.96,2304.2770000000005,0,,,,,375.6682999999998,584.066,845.8499999999997,1310.7900000000002,1896.6349999999998,2744.5830000000005,4442.468000000001,6062.085999999999,7577.715,8957.400000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Product Development,458.224,524.827,548.037,604.5240000000001,626.937,694.672,713.788,685.4219999999999,720.574,713.163,710.983,769.6949999999998,760.999,,,,,,199.638,268.537,321.888,497.479,670.606,881.826,1383.841,2135.612,2720.819,2914.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S&M,501.562,530.827,485.838,539.724,496.011,537.607,479.381,506.01000000000016,443.885,507.562,511.755,521.0630000000002,504.46,,,,,,145.618,173.876,253.17,411.151,624.832,1109.67,1617.189,2057.951,2019.009,1984.2650000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,444.149,395.72,395.437,451.5429999999998,432.825,549.293,480.885,746.1870000000001,471.26,473.568,475.855,728.4160000000002,491.797,,,,,,143.466,251.993,250.553,339.245,436.25,579.203,982.817,1686.849,2209.19,2149.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Losses,91.15,156.697,147.586,155.24999999999997,127.896,179.771,177.338,175.65800000000007,165.729,191.812,192.062,244.61799999999997,169.689,,,,,,54.009,51.235,67.018,88.077,126.959,177.67,187.991,550.683,660.663,794.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Expenses,1495.085,1608.071,1576.898,1751.0409999999997,1683.669,1961.343,1851.3919999999998,2113.277,1801.4479999999999,1886.105,1890.6549999999997,2263.7920000000004,1926.9450000000002,,,,,,542.731,745.641,892.629,1335.952,1858.6470000000002,2748.369,4171.838,6431.095,7609.6810000000005,7842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,-184.6560000000004,-120.52399999999989,8.696999999999434,-72.52599999999984,49.42300000000046,-76.84999999999968,64.93700000000081,-69.00999999999976,311.05200000000013,364.96399999999994,376.21600000000035,63.167999999999665,377.33200000000033,0,,,,,-167.06270000000018,-161.57499999999993,-46.77900000000034,-25.161999999999807,37.9879999999996,-3.7859999999996035,270.630000000001,-369.0090000000009,-31.96600000000035,1115.4000000000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,-17.724000000000004,5.799999999999999,12.755999999999998,58.383,-15.209999999999999,18.579,25.677,220.65,256.569,-57.660999999999994,1.138,-156.13700000000003,,,,,,,1.613,-0.78,-8.458,0.4870000000000019,-21.243,234.78200000000004,-3.650000000000002,59.214999999999996,249.696,43.90899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,-202.3800000000004,-114.72399999999989,21.452999999999435,-14.142999999999837,34.213000000000456,-58.27099999999968,90.6140000000008,151.64000000000024,567.6210000000001,307.30299999999994,377.3540000000003,-92.96900000000036,377.33200000000033,,,,,,-165.44970000000018,-162.35499999999993,-55.237000000000336,-24.674999999999805,16.744999999999603,230.99600000000044,266.98000000000104,-309.79400000000095,217.72999999999965,1159.3090000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
