Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0
,Revenue,152.191,,,,172.347,,,,,388.832,557.723,782.118,899.4357,989.3792700000001,1088.3171970000003,1197.1489167000004,1316.8638083700005
,COGS,73.07,,,,89.797,,,,,205.217,281.508,390.564,449.71785,494.68963500000007,544.1585985000002,598.5744583500002,658.4319041850002
,Gross Profit,79.12100000000001,0,0,0,82.55000000000001,,,,,183.61499999999998,276.215,391.55400000000003,449.71785,494.68963500000007,544.1585985000002,598.5744583500002,658.4319041850002
,S&M,14.173,,,,16.343,,,,,39.889,47.019,65.447,68.71935,72.15531750000001,75.76308337500001,79.55123754375,83.5287994209375
,R&D,23.918,,,,27.503,,,,,62.226,92.709,105.473,110.74665,116.28398250000001,122.09818162500001,128.20309070625,134.6132452415625
,G&A,15.798,,,,12.927,,,,,22.465,40.648,69.636,73.1178,76.77369,80.6123745,84.64299322500001,88.87514288625002
,Operating Expenses,53.889,0,0,0,56.773,,,,,124.58000000000001,180.376,240.556,252.5838,265.21299,278.4736395,292.397321475,307.01718754875003
,Operating Income,25.232000000000006,0,0,0,25.777000000000008,,,,,59.03499999999997,95.83899999999997,150.99800000000002,197.13405,229.47664500000008,265.68495900000016,306.1771368750002,351.4147166362502
,Interest Income,0.991,,,,1.781,,,,,7.085,5.672999999999999,5.784000000000001,6.784000000000001,7.784000000000001,8.784,9.784,10.784
,Pretax Income,26.223000000000006,0,0,0,27.558000000000007,,,,,66.11999999999996,101.51199999999997,156.782,203.91805,237.26064500000007,274.46895900000015,315.9611368750002,362.1987166362502
,Taxes,9.027999999999999,,,,6.786,,,,,16.798,19.364,35.031,40.78361,47.45212900000001,54.89379180000003,63.192227375000044,72.43974332725004
,Net Income,17.195000000000007,0,0,0,20.772000000000006,,,,,49.32199999999996,82.14799999999997,121.751,163.13443999999998,189.80851600000005,219.57516720000012,252.76890950000015,289.75897330900017
,EPS,0.2595772572642798,,,,0.31024853428776533,,,,,0.7548310865342166,1.2663374807884678,1.8380998633038628,2.4628741600820705,2.8655781662040485,3.314971415555051,3.8161041634107047,4.374550757121837
,Shares,66.242321,,,,66.952774,,,,,65.341771,64.870543,66.237424,66.237424,66.237424,66.237424,66.237424,66.237424
,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.13243884329559563,,,,,,0.43435468274216116,0.40234130563021453,0.1499999999999999,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009
,Gross Margin,0.5198796249449705,,,,0.4789755551300574,,,,,0.4722219364661344,0.49525481287305706,0.5006328968263101,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CFFO,-9.649,,,,5.282,,,,,-62.194,-75.323,152.45,,,,,
,CX,25.419,,,,16.726,,,,,91.094,61.876,82.463,,,,,
,FCF,-35.068,,,,-11.443999999999999,,,,,-153.288,-137.19899999999998,69.987,,,,,
