Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Jira,,,,,,,,,Price,309,
,Trello,,,,,,,,,Shares,260,Q244
,Confluence,,,,,,,,,MC,80340,
,Bitbucket,,,,,,,,,Cash,2562,Q244
,,,,,,,,,,Debt,986,Q244
,,,,,,,,,,EV,78764,
