Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,2Q06E,3Q06E,4Q06E,,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0
- USA,217,191,168,159,160,164,187,212,213,220,225,232,,928,735,723,890,952.3,380.92,152.36800000000002,60.94720000000001,24.378880000000006
- Europe,0,0,0,1,0,1,0,1,1,0.25,0.25,-0.5,,0,1,2,1,1.0,1.0,1.0,1.0,2.0
- RoW,4,2,5,4,3,2,4,4,3,3.75,3.75,4.5,,25,15,13,15,35.20675,116.0170875,216.867941875,317.76133896875,316.76133896875
