Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,2010: Launches 1-Day Acuvue SiH.,,,,,,,,,,,,,,,
,"Q106: 13.2% growth on Acuvue Advance, Hydraclear, 1-day Acuvue, Acuvue Oasys with Hydra-Clear.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0
,Vistakon,618.0,723.0,723.0,723.0,,,,,,,,,,,
,    U.S.,346.0,388.0,388.0,388.0,,,,,,,,,,,
,    International,272.0,335.0,335.0,335.0,,,,,,,,,,,
