Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Site,Pricing,API,WebApp,Traffic (TT28D 000s),Investors,Raised,Login required to generate images?,,
,Discord,,,,,1017000,,,Yes,,
,Canva,,,,,518200,,,Yes,,
,Adobe,,,,,,,,Yes,,
,HuggingFace,,,,,21560,,,,,
,,,,,,,,,,,
,Total,,,,,103143.06599999999,,,,,
,CivitAI,civitai.com,"$10 for 200-625 images, heavily NSFW",YES,YES,21420,a16z,5.1,Yes,10405,15804.0
,Leonardo,leonardo.ai,$12 for 300-700 images,YES,YES,16770,Australian investors,38.8,Yes,,
,midjourney,midjourney.com,$10-$120/month (200-3600 images),NO,NO,16230,,0,Yes,,
,playground,playground.com,"$15, $45/mo",Limited,,8039,"Initialized, Max Levchin, Paul Graham, Aaron Levie, YC, Paul Buchheit, Ron Conway, Kyle Vogt, Balaji",45,Yes,https://playground.com/blog/playground-v2-5,
,Ideogram,ideogram.ai,,NO,,7417,a16z,100,Yes,,
,Runway,runwayml.com,,,,5424,"Felicis, Google, Coatue",236,Yes,https://github.com/comfyanonymous/ComfyUI,
,Replicate,replicate.com,A100 40GB 4.14/hr,YES,YES,5399,a16z,57.8,No,https://github.com/Stability-AI/StableSwarmUI,
,Lexica,lexica.art,,,,3285,?,?,Yes,https://github.com/lllyasviel/Fooocus?tab=readme-ov-file,
,Stability,stability.ai,$20/mo for professionals,YES,YES,3211,"Coatue, Lightspeed",173.8,Yes,https://beta.dreamstudio.ai/generate,
,clipdrop.co,,,,,3144,,,Yes,https://comfyanonymous.github.io/ComfyUI_examples/lcm/,
,gencraft,gencraft.com,,,,2697,,,Yes,,
,hotpot,hotpot.ai,,,,2595,,,,,
,stablediffusionweb.com,,,,,1597,,,,,
,prompthero,,,,,1423,,,,,
,dreamstudio,dreamstudio.ai,,,,1300,,,,,
,stable-diffusion-art.com,,,,,1153,,,,,
,Flair,flair.ai,,,,542.597,,,,,
,photoai.com,,,,,495.878,,,,,
,DaVinci,davinci.ai,,,,457.907,,,,,
,AITubo,aitubo.ai,,,,256.911,,,,,
,Scenario,,,,,198.125,,,,,
,clarityai.cc,,,,,59.152,,,,,
,photo.ai,,,,,28.496,,,,,
,pika,,,,,,,,,,
,imgnai.com,,,,,,,,,,
,imgn.ai,,,,,,,,,,
,deepai.org,,,,,,,,No,,
,pixlr.com,,,,,,,,,,
,,,,,,,,,,,
,Models,,,,,,,,,,
,Phased Consistency Model - https://arxiv.org/abs/2405.18407,,,,,,,,,,
,Imagen 3 - Google,,,,,,,,,,
,Flux,,,,,,,,,,
