Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,US Consumer Services,,,,0.38,,,,,Price,270.0,
,Commercial Services,,,,29% (mostly SME),,,,,Shares,702.532111,Q424
,International Card Services,,,,0.21,,,,,MC,189683.66997,
,Global Merchant and Network Services,,,,0.12,,,,,Cash,54409.0,Q424
,,,,,,,,,,Debt,0.0,Q424
,,,,,,,,,,EV,135274.66997,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Founded,1850.0,
