Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
,Notebooks/Mobile Devices,,,,,,,,,,,,,6659.4,6179.7,4690.5
,Netcomm Products,,,,,,,,,,,,,1950.9,2729.7,3185.4
,Collaboration,,,,,,,,,,,,,2218.8,2394.8,1909.7
,Data Storage/Servers,,,,,,,,,,,,,2044.9,2479.0,2240.7
,Desktops,,,,,,,,,,,,,1203.6,1284.9,1069.1
,Other Hardware,,,,,,,,,,,,,2692.0,3022.9,2607.2
,Hardware,,,,,,,,,,,,,16769.6,18091.0,15702.599999999999
,Software,,,,,,,,,,,,,2802.4,3684.9,3799.3
,Services,,,,,,,,,,,,,1126.1,1842.0,1761.3
,Other,,,,,,,,,,,,,122.7,130.8,112.8
,Revenue,5103.1,5626.1,5628.3,5018.499999999996,4872.7,5423.4,5516.6,,,16240.5,18032.4,18467.5,20820.8,23748.7,21375.999999999996
,COGS,4013.7,4444.6,4400.6,3864.699999999998,3809.4,4240.3,4315.9,,,13533.6,14992.5,15257.4,17252.3,19062.1,16723.6
,Gross Profit,1089.4000000000005,1181.5,1227.6999999999998,1153.7999999999984,1063.2999999999997,1183.0999999999995,1200.7000000000007,,,2706.8999999999996,3039.9000000000015,3210.1000000000004,3568.5,4686.600000000002,4652.399999999998
,SG&A,734.1,769.3,749.3,,735.3,750,719.1,,,1719.6,1906.3,2030.9,2149.5,2951.4,2971.5
,Operating Income,355.3000000000005,412.20000000000005,478.39999999999986,1153.7999999999984,327.9999999999998,433.09999999999945,481.6000000000007,,,987.2999999999997,1133.6000000000015,1179.2000000000003,1419.0,1735.200000000002,1680.8999999999978
,Interest,-59,-58.800000000000004,-58.6,,-51.4,-53.4,-54,,,-146.79999999999998,-183.9,-176.9,-121.2,-247.39999999999998,-230.7
,Pretax Income,296.3000000000005,353.40000000000003,419.79999999999984,1153.7999999999984,276.5999999999998,379.6999999999995,427.6000000000007,,,840.4999999999998,949.7000000000015,1002.3000000000003,1297.8,1487.800000000002,1450.1999999999978
,Taxes,66.2,90.8,104.3,,60.5,98.6,111.2,,,197.5,212.9,213.8,309.2,373.3,345.9
,Net Income,230.10000000000053,262.6,315.49999999999983,1153.7999999999984,216.0999999999998,281.09999999999945,316.4000000000007,,,642.9999999999998,736.8000000000015,788.5000000000002,988.5999999999999,1114.500000000002,1104.299999999998
,EPS,1.6758922068463258,1.9294636296840562,2.3215599705665917,,1.5936578171091431,2.0730088495575183,2.345441067457381,,,4.186197916666665,4.98511502029771,5.445441988950277,7.036298932384341,8.13503649635038,8.101980924431386
,Shares,137.3,136.1,135.9,,135.6,135.6,134.9,,,153.6,147.8,144.8,140.5,137.0,136.3
,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,-0.04514902706198198,-0.03602850998027063,-0.019846134712079966,,,,0.1103352729287892,0.02412879039950311,0.12742926763232698,0.14062379927764557,-0.09990862657745492
,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0.2182157735957477,0.21814728767931546,0.21765217706558398,,,0.16667590283550382,0.16857988953217548,0.17382428590767568,0.1713911088911089,0.19734132815690972,0.21764595808383227
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CFFO,365.4,228.20000000000005,468.6,,440,149.89999999999998,342.1,,,905.9,1027.2,1314.3,784.6,1335.9,1598.7
,CX,31.7,39.599999999999994,43.400000000000006,,29.5,30.9,33.6,,,86.1,236.3,158.0,100.0,127.8,148.2
,FCF,333.7,188.60000000000005,425.20000000000005,,410.5,118.99999999999997,308.5,,,819.8,790.9000000000001,1156.3,684.6,1208.1000000000001,1450.5
