Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,,2022.0,2023.0,2024.0
,Product,,,,845.88,963.742,922.79,,981.987,913.385,960.457,,,,,,3340.197,3834.259,
,Services,,,,53.997,57.948,53.789,,86.636,95.718,100.224,,,,,,221.521,255.627,
,Revenue,,,,899.877,1021.6899999999999,976.579,0,1068.623,1009.103,1060.681,,,,,,3561.7180000000003,4089.886,
,COGS,,,,93.515,125.197,96.858,,104.13,125.197,139.26999999999998,,,,,,371.623,435.041,
,Gross Profit,,,,806.362,896.4929999999999,879.721,,964.493,883.906,921.4110000000001,,,,,,3190.0950000000003,3654.845,
,M&S,,,,171.817,166.666,167.07,,180.368,180.589,186.725,,,,,,604.224,690.319,
,R&D,,,,350.423,350.295,354.416,,367.443,378.958,370.74,,,,,,1251.544,1441.796,
,G&A,,,,68.065,53.527,54.605,,75.742,68.716,63.436,,,,,,242.116,242.43,
,Operating Expenses,,,,590.3050000000001,570.488,576.091,0,623.5529999999999,628.263,620.9010000000001,,,,,,2097.884,2374.545,
,Operating Income,,,,216.0569999999999,326.0049999999999,303.63,0,340.94000000000017,255.64299999999992,300.51,,,,,,1092.2110000000002,1280.2999999999997,
,Interest Income,,,,-0.5920000000000005,-0.9759999999999991,-0.9040000000000008,,-8.989,60.086999999999996,21.833999999999996,,,,,,-28.323,-28.323,
,Pretax Income,,,,215.4649999999999,325.0289999999999,302.726,,331.9510000000002,315.7299999999999,322.344,,,,,,1063.8880000000001,1251.9769999999996,
,Taxes,,,,0,79.683,77.304,,38.163,62.4,86.19,,,,,,196.411,196.411,
,Net Income,,,,215.4649999999999,245.3459999999999,225.422,,293.7880000000002,253.3299999999999,236.154,,,,,,867.4770000000001,1055.5659999999996,
,EPS,,,,0.7892577574112531,0.8987164647101054,0.825733710384035,,1.0784416652289313,0.9261032959962562,0.8633884176659843,,,,,,3.154335644756028,3.8382682874503185,
,Shares,,,,272.997,272.996,272.996,,272.419,273.544,273.52,,,,,,275.011,275.011,
,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,,,,,,,,0.14829023521794804,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,1012.418,1058.955,,,,,,,,
,AR,,,,,,,,,389.865,564.851,,,,,,,,
,Inventories,,,,,,,,,185.784,171.508,,,,,,,,
,Prepaids,,,,,,,,,341.865,401.074,,,,,,,,
,PP&E,,,,,,,,,433.016,449.422,,,,,,,,
,Goodwill,,,,,,,,,1909.751,3081.785,,,,,,,,
,DT,,,,,,,,,886.576,892.963,,,,,,,,
,Other,,,,,,,,,562.855,605.183,,,,,,,,
,Assets,,,,,,,,,5722.129999999999,7225.740999999999,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,649.312,1348.667,,,,,,,,
,AP,,,,,,,,,456.608,505.392,,,,,,,,
,DR,,,,,,,,,746.6310000000001,767.4209999999999,,,,,,,,
,OLTL,,,,,,,,,301.983,343.369,,,,,,,,
,SE,,,,,,,,,3567.596,4260.892,,,,,,,,
,L+SE,,,,,,,,,5722.13,7225.741,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,253.3299999999999,,,,,,,,,
,Reported NI,,,,,,,,,247.643,,,,,,,,,
,D&A,,,,,,,,,39.556,,,,,,,,,
,Amortization of Debt Discount,,,,,,,,,0.32,,,,,,,,,
,SBC,,,,,,,,,88.129,,,,,,,,,
,Gain on Investments,,,,,,,,,-55.394,,,,,,,,,
,DT,,,,,,,,,-1.523,,,,,,,,,
,ABA,,,,,,,,,0.158,,,,,,,,,
,,,,,,,,,,-0.917,,,,,,,,,
,,,,,,,,,,0.078,,,,,,,,,
,WC,,,,,,,,,-64.81800000000001,,,,,,,,,
,CFFO,,,,,,,,,253.232,,,,,,,1241.894,1349.176,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Custom IC Design,,,,,,,,,,0.21,,,,,,,,
,Digital IC Design and Signoff,,,,,,,,,,0.27,,,,,,,,
,Functional Verification including Emulation and Prototyping,,,,,,,,,,0.25,,,,,,,,
,IP,,,,,,,,,,0.13,,,,,,,,
,System Design and Analysis,,,,,,,,,,0.14,,,,,,,,
