Date,Close ,Adj Close ,Volume,Unnamed: 4
2025-01-30,6.22,6.22,941,
2025-01-29,6.21,6.21,2400,
2025-01-28,6.2,6.2,13000,
2025-01-27,6.44,6.44,9500,
2025-01-24,6.83,6.83,4600,
2025-01-23,6.62,6.62,3600,
2025-01-22,6.83,6.83,4900,
2025-01-21,6.72,6.72,6600,
2025-01-17,6.78,6.78,6300,
2025-01-16,6.76,6.76,7200,
2025-01-15,7.0,7.0,5800,
2025-01-14,6.98,6.98,4800,
2025-01-13,7.1,7.1,12900,
2025-01-10,7.05,7.05,14400,
2025-01-08,7.11,7.11,11200,
2025-01-07,7.2,7.2,31800,
2025-01-06,6.81,6.81,37600,
2025-01-03,6.73,6.73,13700,
2025-01-02,6.13,6.13,7400,
2024-12-31,6.03,6.03,18700,
2024-12-30,6.07,6.07,16600,
2024-12-27,6.12,6.12,7200,
2024-12-26,6.11,6.11,7100,
2024-12-24,6.15,6.15,14400,
2024-12-23,6.0,6.0,39400,
2024-12-20,5.75,5.75,14700,
2024-12-19,5.5,5.5,20400,
2024-12-18,5.6,5.6,13100,
2024-12-17,5.93,5.93,16800,
2024-12-16,6.13,6.13,13500,
2024-12-13,6.21,6.21,4200,
2024-12-12,6.32,6.32,14000,
2024-12-11,6.3,6.3,18800,
2024-12-10,6.78,6.78,12000,
2024-12-09,6.83,6.83,26100,
2024-12-06,7.35,7.35,9700,
2024-12-05,7.5,7.5,3700,
2024-12-04,7.58,7.58,7200,
2024-12-03,7.68,7.68,7400,
2024-12-02,7.55,7.55,6700,
2024-11-29,7.59,7.59,1700,
2024-11-27,7.59,7.59,3800,
2024-11-26,7.58,7.58,11800,
2024-11-25,7.81,7.81,9900,
2024-11-22,7.85,7.85,7000,
2024-11-21,7.7,7.7,9000,
2024-11-20,7.8,7.8,13100,
2024-11-19,7.86,7.86,11600,
2024-11-18,7.47,7.47,8000,
2024-11-15,7.57,7.57,13100,
2024-11-14,7.8,7.8,11200,
2024-11-13,7.94,7.94,6500,
2024-11-12,8.0,8.0,13000,
2024-11-11,8.23,8.23,14400,
2024-11-08,7.75,7.75,6800,
2024-11-07,7.9,7.9,14100,
2024-11-06,7.99,7.99,15700,
2024-11-05,7.88,7.88,7700,
2024-11-04,7.79,7.79,20500,
