Date,Close ,Adj Close ,Volume,Unnamed: 4
2024-11-01,7.96,7.96,13400,
2024-10-31,8.02,8.02,7900,
2024-10-30,8.03,8.03,10200,
2024-10-29,8.4,8.4,3800,
2024-10-28,8.54,8.54,2600,
2024-10-25,8.73,8.73,9200,
2024-10-24,8.89,8.89,-,
2024-10-23,8.89,8.89,9800,
2024-10-22,8.89,8.89,5700,
2024-10-21,8.95,8.95,4100,
2024-10-18,8.94,8.94,3300,
2024-10-17,9.0,9.0,1800,
2024-10-16,9.03,9.03,2200,
2024-10-15,8.94,8.94,12100,
2024-10-14,9.2,9.2,4100,
2024-10-11,9.21,9.21,4500,
2024-10-10,9.23,9.23,3800,
2024-10-09,9.13,9.13,3900,
2024-10-08,9.1,9.1,1600,
2024-10-07,9.11,9.11,10800,
2024-10-04,9.05,9.05,7800,
2024-10-03,9.14,9.14,4000,
2024-10-02,9.22,9.22,4000,
2024-10-01,9.15,9.15,16700,
2024-09-30,9.16,9.16,5300,
2024-09-27,8.7,8.7,1900,
2024-09-26,8.93,8.93,10800,
2024-09-25,8.95,8.95,4200,
2024-09-24,8.81,8.81,3400,
2024-09-23,8.6,8.6,1800,
2024-09-20,8.81,8.81,9500,
2024-09-19,8.46,8.46,17400,
2024-09-18,8.41,8.41,7200,
2024-09-17,8.41,8.41,9100,
2024-09-16,8.49,8.49,3900,
2024-09-13,8.04,8.04,7800,
2024-09-12,7.97,7.97,4500,
2024-09-11,8.12,8.12,8800,
2024-09-10,7.99,7.99,3400,
2024-09-09,8.22,8.22,6600,
2024-09-06,7.79,7.79,4000,
2024-09-05,8.14,8.14,7900,
2024-09-04,8.0,8.0,5900,
2024-09-03,8.04,8.04,4500,
2024-08-30,8.7,8.7,4600,
2024-08-29,8.79,8.79,10700,
2024-08-28,8.9,8.9,2100,
2024-08-27,8.84,8.84,6200,
2024-08-26,9.0,9.0,17600,
2024-08-23,8.99,8.99,15100,
2024-08-22,8.95,8.95,1600,
2024-08-21,9.08,9.08,15400,
2024-08-20,9.3,9.3,34500,
2024-08-19,9.37,9.37,12300,
2024-08-16,9.53,9.53,3500,
2024-08-15,9.3,9.3,9000,
2024-08-14,9.45,9.45,2600,
2024-08-13,9.53,9.53,22100,
2024-08-12,9.09,9.09,9600,
2024-08-09,8.93,8.93,11300,
2024-08-08,8.75,8.75,5200,
2024-08-07,8.57,8.57,3100,
2024-08-06,8.8,8.8,10600,
2024-08-05,8.86,8.86,20600,
2024-08-02,9.25,9.25,11700,
2024-08-01,9.68,9.68,3900,
2024-07-31,9.99,9.99,13900,
2024-07-30,10.6,10.6,1700,
2024-07-29,10.61,10.61,1800,
2024-07-26,10.77,10.77,3500,
2024-07-25,10.67,10.67,14500,
2024-07-24,9.9,9.9,4700,
2024-07-23,10.36,10.36,2900,
2024-07-22,10.34,10.34,9400,
2024-07-19,10.57,10.57,13200,
2024-07-18,10.9,10.9,3100,
2024-07-17,11.07,11.07,4800,
2024-07-16,11.09,11.09,15700,
2024-07-15,10.89,10.89,18200,
2024-07-12,10.99,10.99,9500,
2024-07-11,10.89,10.89,5000,
2024-07-10,10.83,10.83,20000,
2024-07-09,10.71,10.71,23500,
2024-07-08,10.89,10.89,16800,
2024-07-05,11.06,11.06,20900,
2024-07-03,11.07,11.07,7100,
2024-07-02,11.04,11.04,4800,
2024-07-01,11.14,11.14,21200,
2024-06-28,11.02,11.02,34600,
2024-06-27,11.03,11.03,8000,
2024-06-26,11.17,11.17,9300,
2024-06-25,11.1,11.1,8600,
2024-06-24,11.1,11.1,20300,
2024-06-21,11.43,11.43,2800,
2024-06-20,11.43,11.43,7800,
2024-06-18,11.81,11.81,8100,
2024-06-17,11.96,11.96,8700,
2024-06-14,12.25,12.25,14800,
2024-06-13,12.67,12.67,7200,
2024-06-12,12.88,12.88,10000,
2024-06-11,12.98,12.98,3400,
2024-06-10,13.06,13.06,6100,
2024-06-07,13.27,13.27,4100,
2024-06-06,13.07,13.07,9100,
2024-06-05,13.14,13.14,10500,
2024-06-04,13.2,13.2,9400,
2024-06-03,13.3,13.3,8000,
2024-05-31,13.5,13.5,7400,
2024-05-30,13.49,13.49,10000,
2024-05-29,13.45,13.45,12800,
2024-05-28,14.0,14.0,26500,
2024-05-24,13.98,13.98,11000,
2024-05-23,13.58,13.58,16700,
2024-05-22,13.45,13.45,21800,
2024-05-21,13.2,13.2,23000,
2024-05-20,12.81,12.81,12200,
2024-05-17,12.3,12.3,6900,
2024-05-16,12.11,12.11,9000,
2024-05-15,12.07,12.07,14900,
2024-05-14,12.25,12.25,17800,
2024-05-13,12.25,12.25,17700,
2024-05-10,12.51,12.51,16000,
2024-05-09,12.65,12.65,20300,
2024-05-08,12.33,12.33,32200,
2024-05-07,12.31,12.31,8500,
2024-05-06,12.29,12.29,13700,
2024-05-03,12.55,12.55,6800,
2024-05-02,12.5,12.5,24600,
2024-05-01,12.44,12.44,5000,
2024-04-30,12.55,12.55,2400,
2024-04-29,12.4,12.4,8400,
2024-04-26,12.41,12.41,8700,
2024-04-25,12.3,12.3,13100,
2024-04-24,12.3,12.3,5400,
2024-04-23,12.38,12.38,6300,
2024-04-22,12.59,12.59,3500,
2024-04-19,12.7,12.7,5600,
2024-04-18,12.75,12.75,8200,
2024-04-17,12.8,12.8,21000,
2024-04-16,12.98,12.98,5400,
2024-04-15,12.97,12.97,23300,
2024-04-12,13.14,13.14,22700,
2024-04-11,13.33,13.33,4500,
2024-04-10,13.32,13.32,21800,
2024-04-09,13.6,13.6,9600,
2024-04-08,13.66,13.66,20500,
2024-04-05,13.53,13.53,13500,
2024-04-04,13.86,13.86,22200,
2024-04-03,13.85,13.85,11000,
2024-04-02,13.39,13.39,27000,
2024-04-01,13.49,13.49,37300,
2024-03-28,14.02,14.02,19100,
2024-03-27,14.05,14.05,13600,
2024-03-26,13.68,13.68,9000,
2024-03-25,13.5,13.5,10700,
2024-03-22,13.29,13.29,8000,
2024-03-21,13.46,13.46,40200,
2024-03-20,13.55,13.55,12700,
2024-03-19,13.36,13.36,3200,
2024-03-18,13.3,13.3,7700,
2024-03-15,13.35,13.35,19100,
2024-03-14,13.38,13.38,27300,
2024-03-13,13.82,13.82,17500,
2024-03-12,13.77,13.77,23600,
2024-03-11,14.01,14.01,11700,
2024-03-08,14.55,14.55,17600,
2024-03-07,14.1,14.1,19000,
2024-03-06,13.75,13.75,11900,
2024-03-05,13.78,13.78,9600,
2024-03-04,13.52,13.52,17700,
2024-03-01,13.67,13.67,13500,
2024-02-29,13.67,13.67,7600,
2024-02-28,13.73,13.73,5800,
2024-02-27,13.98,13.98,23100,
2024-02-26,13.68,13.68,16900,
2024-02-23,13.3,13.3,10600,
2024-02-22,13.6,13.6,9500,
2024-02-21,14.2,14.2,5300,
2024-02-20,14.66,14.66,8100,
2024-02-16,14.57,14.57,12800,
2024-02-15,14.7,14.7,22600,
2024-02-14,13.97,13.97,18200,
2024-02-13,13.69,13.69,14100,
2024-02-12,13.46,13.46,27700,
2024-02-09,13.51,13.51,15200,
2024-02-08,13.47,13.47,6900,
2024-02-07,13.44,13.44,40700,
2024-02-06,13.35,13.35,14800,
2024-02-05,13.78,13.78,10100,
2024-02-02,13.84,13.84,16800,
2024-02-01,13.66,13.66,12700,
2024-01-31,13.75,13.75,8000,
2024-01-30,14.29,14.29,5100,
2024-01-29,14.1,14.1,16200,
2024-01-26,13.8,13.8,11600,
2024-01-25,13.43,13.43,14300,
2024-01-24,13.88,13.88,16300,
2024-01-23,14.11,14.11,15000,
2024-01-22,14.12,14.12,11500,
2024-01-19,14.12,14.12,22600,
2024-01-18,14.41,14.41,39700,
2024-01-17,14.67,14.67,17200,
2024-01-16,14.89,14.89,26800,
2024-01-12,14.98,14.98,39100,
2024-01-11,14.8,14.8,24800,
2024-01-10,14.85,14.85,9700,
2024-01-09,14.99,14.99,24800,
2024-01-08,14.55,14.55,42700,
2024-01-05,15.12,15.12,35500,
2024-01-04,15.7,15.7,25000,
2024-01-03,15.11,15.11,53200,
2024-01-02,15.61,15.61,19000,
2023-12-29,15.62,15.62,25200,
2023-12-28,15.62,15.62,61600,
2023-12-27,16.33,16.33,40500,
2023-12-26,16.71,16.71,28000,
2023-12-22,16.65,16.65,33000,
2023-12-21,16.7,16.7,14100,
2023-12-20,16.3,16.3,86900,
2023-12-19,17.58,17.58,64500,
2023-12-18,16.27,16.27,156700,
2023-12-15,17.43,17.43,50700,
2023-12-14,17.5,17.5,117400,
2023-12-13,16.69,16.69,149100,
2023-12-12,18.08,18.08,163900,
2023-12-11,17.68,17.68,165100,
2023-12-08,16.41,16.41,153300,
2023-12-07,15.92,15.92,295000,
2023-12-06,13.16,13.16,26900,
2023-12-05,13.38,13.38,35200,
2023-12-04,12.84,12.84,26200,
2023-12-01,12.64,12.64,88100,
2023-11-30,12.05,12.05,231300,
2023-11-29,14.03,14.03,288600,
2023-11-28,11.4,11.4,249100,
2023-11-27,10.5,10.5,241400,
2023-11-24,10.22,10.22,250500,
2023-11-22,8.72,8.72,47900,
2023-11-21,7.98,7.98,26300,
2023-11-20,8.1,8.1,23800,
2023-11-17,8.0,8.0,75000,
2023-11-16,7.47,7.47,89200,
2023-11-15,7.44,7.44,63800,
2023-11-14,6.6,6.6,27900,
2023-11-13,6.0,6.0,15600,
2023-11-10,5.86,5.86,24700,
2023-11-09,5.97,5.97,25900,
2023-11-08,6.28,6.28,11900,
2023-11-07,6.38,6.38,21100,
2023-11-06,6.37,6.37,14100,
2023-11-03,6.45,6.45,18600,
2023-11-02,6.36,6.36,22600,
2023-11-01,6.44,6.44,18000,
2023-10-31,6.4,6.4,12000,
2023-10-30,6.53,6.53,11000,
2023-10-27,6.45,6.45,19900,
2023-10-26,6.6,6.6,17100,
2023-10-25,6.73,6.73,19100,
2023-10-24,6.58,6.58,36000,
2023-10-23,7.02,7.02,21600,
2023-10-20,7.1,7.1,19900,
2023-10-19,7.4,7.4,21500,
2023-10-18,7.93,7.93,93200,
2023-10-17,8.98,8.98,118400,
2023-10-16,9.1,9.1,96200,
2023-10-13,8.1,8.1,60400,
2023-10-12,7.4,7.4,47200,
2023-10-11,6.74,6.74,23600,
2023-10-10,6.69,6.69,26900,
2023-10-09,6.42,6.42,31200,
2023-10-06,6.12,6.12,31800,
2023-10-05,6.25,6.25,33100,
2023-10-04,6.57,6.57,37900,
2023-10-03,6.84,6.84,84900,
2023-10-02,6.99,6.99,113800,
2023-09-29,7.14,7.14,222200,
2023-09-28,7.08,7.08,53592,
2023-09-27,7.44,7.44,10467,
2023-09-26,7.44,7.44,16633,
2023-09-25,7.44,7.44,19458,
2023-09-22,7.32,7.32,34667,
2023-09-21,7.32,7.32,25367,
2023-09-20,7.56,7.56,19233,
2023-09-19,7.56,7.56,21733,
2023-09-18,7.92,7.92,27692,
2023-09-15,8.16,8.16,21933,
2023-09-14,8.28,8.28,15467,
2023-09-13,8.16,8.16,35950,
2023-09-12,8.52,8.52,7308,
2023-09-11,8.52,8.52,12367,
2023-09-08,8.64,8.64,11167,
2023-09-07,8.52,8.52,11883,
2023-09-06,8.52,8.52,24067,
2023-09-05,8.64,8.64,13125,
2023-09-01,9.0,9.0,16475,
2023-08-31,9.0,9.0,13717,
2023-08-30,9.0,9.0,8367,
2023-08-29,9.0,9.0,18492,
2023-08-28,8.64,8.64,8692,
2023-08-25,8.4,8.4,7983,
2023-08-24,8.52,8.52,17983,
2023-08-23,8.64,8.64,22825,
2023-08-22,8.76,8.76,14542,
2023-08-21,8.64,8.64,33708,
2023-08-18,9.12,9.12,19825,
2023-08-17,9.0,9.0,52417,
2023-08-16,9.6,9.6,184783,
2023-08-15,10.2,10.2,59225,
2023-08-14,9.84,9.84,68158,
2023-08-11,9.84,9.84,119267,
2023-08-10,9.6,9.6,138125,
2023-08-09,8.52,8.52,80333,
2023-08-08,8.52,8.52,46217,
2023-08-07,8.28,8.28,70592,
2023-08-04,8.88,8.88,546900,
2023-08-03,8.16,8.16,110850,
2023-08-02,8.4,8.4,9792,
2023-08-01,8.64,8.64,12717,
2023-07-31,8.88,8.88,48308,
2023-07-28,8.28,8.28,14900,
2023-07-27,8.28,8.28,10817,
2023-07-26,8.4,8.4,17700,
2023-07-25,8.28,8.28,8867,
2023-07-24,8.4,8.4,22108,
2023-07-21,8.16,8.16,46558,
2023-07-20,8.4,8.4,192642,
2023-07-19,8.16,8.16,13458,
2023-07-18,8.28,8.28,15217,
2023-07-17,8.28,8.28,24383,
2023-07-14,8.4,8.4,25475,
2023-07-13,8.4,8.4,153708,
2023-07-12,8.16,8.16,64567,
2023-07-11,7.56,7.56,21417,
2023-07-10,7.56,7.56,18067,
2023-07-07,7.44,7.44,21458,
2023-07-06,7.32,7.32,13283,
2023-07-05,7.44,7.44,28792,
2023-07-03,7.2,7.2,24308,
2023-06-30,6.84,6.84,33367,
2023-06-29,6.96,6.96,16633,
2023-06-28,6.84,6.84,18000,
2023-06-27,6.96,6.96,44367,
2023-06-26,7.56,7.56,9142,
2023-06-23,7.68,7.68,14775,
2023-06-22,7.68,7.68,31408,
2023-06-21,7.92,7.92,44067,
2023-06-20,7.92,7.92,28383,
2023-06-16,8.16,8.16,33500,
2023-06-15,8.04,8.04,22925,
2023-06-14,8.04,8.04,31475,
2023-06-13,8.28,8.28,12675,
2023-06-12,8.28,8.28,25683,
2023-06-09,8.28,8.28,24767,
2023-06-08,8.4,8.4,16217,
2023-06-07,8.4,8.4,22300,
2023-06-06,8.64,8.64,17250,
2023-06-05,8.52,8.52,16108,
2023-06-02,8.4,8.4,29083,
2023-06-01,8.52,8.52,11017,
2023-05-31,8.52,8.52,6950,
2023-05-30,8.64,8.64,12008,
2023-05-26,8.76,8.76,13875,
2023-05-25,8.64,8.64,25450,
2023-05-24,9.0,9.0,16092,
2023-05-23,9.24,9.24,76950,
2023-05-22,8.76,8.76,15517,
2023-05-19,8.64,8.64,14842,
2023-05-18,8.64,8.64,14267,
2023-05-17,8.64,8.64,10708,
2023-05-16,8.64,8.64,6275,
2023-05-15,8.76,8.76,13225,
2023-05-12,8.88,8.88,27092,
2023-05-11,8.88,8.88,11917,
2023-05-10,8.76,8.76,31558,
2023-05-09,8.64,8.64,20800,
2023-05-08,8.88,8.88,38358,
2023-05-05,8.52,8.52,23325,
2023-05-04,8.28,8.28,47717,
2023-05-03,8.64,8.64,16150,
2023-05-02,8.52,8.52,23883,
2023-05-01,8.88,8.88,27467,
2023-04-28,8.88,8.88,96392,
2023-04-27,8.28,8.28,47783,
2023-04-26,8.16,8.16,62267,
2023-04-25,8.88,8.88,68283,
2023-04-24,9.36,9.36,23092,
2023-04-21,9.6,9.6,18008,
2023-04-20,9.6,9.6,41058,
2023-04-19,9.96,9.96,29300,
2023-04-18,9.84,9.84,24633,
2023-04-17,10.2,10.2,20425,
2023-04-14,10.2,10.2,26342,
2023-04-13,10.2,10.2,31575,
2023-04-12,10.2,10.2,22000,
2023-04-11,10.32,10.32,51258,
2023-04-10,10.44,10.44,45342,
2023-04-06,10.32,10.32,23483,
2023-04-05,10.2,10.2,28692,
2023-04-04,10.56,10.56,53000,
2023-04-03,10.44,10.44,52542,
2023-03-31,10.56,10.56,55650,
2023-03-30,10.68,10.68,105108,
2023-03-29,10.56,10.56,74842,
2023-03-28,10.68,10.68,83142,
2023-03-27,10.68,10.68,89875,
2023-03-24,10.2,10.2,61892,
2023-03-23,10.44,10.44,435592,
2023-03-22,10.2,10.2,63225,
2023-03-21,10.56,10.56,113008,
2023-03-20,9.84,9.84,79042,
2023-03-17,10.2,10.2,71800,
2023-03-16,10.32,10.32,61400,
2023-03-15,10.08,10.08,155900,
2023-03-14,10.56,10.56,127000,
2023-03-13,10.92,10.92,282792,
2023-03-10,11.4,11.4,512817,
2023-03-09,11.04,11.04,603617,
2023-03-08,12.6,12.6,4107792,
2023-03-07,9.72,9.72,64725,
2023-03-06,10.08,10.08,97625,
2023-03-03,11.04,11.04,188917,
2023-03-02,11.16,11.16,186675,
2023-03-01,11.52,11.52,1301592,
2023-02-28,9.24,9.24,74983,
2023-02-27,9.6,9.6,69475,
2023-02-24,10.08,10.08,124408,
2023-02-23,9.6,9.6,110558,
2023-02-22,9.36,9.36,197492,
2023-02-21,9.36,9.36,165358,
2023-02-17,9.72,9.72,211850,
2023-02-16,10.44,10.44,212758,
2023-02-15,10.44,10.44,528033,
2023-02-14,10.92,10.92,1785083,
2023-02-13,19.8,19.8,7901842,
2023-02-10,15.72,15.72,24608,
2023-02-09,15.96,15.96,30300,
2023-02-08,17.04,17.04,24917,
2023-02-07,17.16,17.16,48342,
2023-02-06,17.04,17.04,23300,
2023-02-03,17.16,17.16,32492,
2023-02-02,16.56,16.56,45800,
2023-02-01,15.96,15.96,36408,
2023-01-31,15.96,15.96,32692,
2023-01-30,15.6,15.6,28292,
2023-01-27,16.08,16.08,35558,
2023-01-26,16.44,16.44,17300,
2023-01-25,15.96,15.96,32233,
2023-01-24,16.92,16.92,33308,
2023-01-23,17.4,17.4,44192,
2023-01-20,18.0,18.0,41133,
2023-01-19,18.24,18.24,57442,
2023-01-18,17.4,17.4,156125,
2023-01-17,18.0,18.0,139017,
2023-01-13,15.96,15.96,46833,
2023-01-12,16.2,16.2,71283,
2023-01-11,15.0,15.0,112633,
2023-01-10,14.76,14.76,36092,
2023-01-09,14.52,14.52,40067,
2023-01-06,14.52,14.52,72817,
2023-01-05,15.12,15.12,83367,
2023-01-04,16.56,16.56,408817,
2023-01-03,14.4,14.4,33958,
2022-12-30,15.24,15.24,61225,
2022-12-29,15.36,15.36,102417,
2022-12-28,13.92,13.92,69375,
2022-12-27,13.32,13.32,71283,
2022-12-23,13.92,13.92,37750,
2022-12-22,14.16,14.16,95017,
2022-12-21,15.24,15.24,38392,
2022-12-20,15.24,15.24,50700,
2022-12-19,15.12,15.12,78108,
2022-12-16,17.04,17.04,74433,
2022-12-15,17.4,17.4,124808,
2022-12-14,18.0,18.0,372608,
2022-12-13,16.56,16.56,111092,
2022-12-12,16.32,16.32,191858,
2022-12-09,17.4,17.4,233567,
2022-12-08,20.16,20.16,229567,
2022-12-07,21.84,21.84,323233,
2022-12-06,24.12,24.12,441633,
2022-12-05,26.4,26.4,2420408,
2022-12-02,53.28,53.28,2603417,
2022-12-01,43.56,43.56,3690367,
2022-11-30,36.24,36.24,1963992,
2022-11-29,24.96,24.96,53717,
2022-11-28,27.6,27.6,33008,
2022-11-25,29.4,29.4,48650,
2022-11-23,26.88,26.88,18592,
2022-11-22,28.2,28.2,19967,
2022-11-21,34.44,34.44,13733,
2022-11-18,39.0,39.0,5983,
2022-11-17,40.2,40.2,5158,
2022-11-16,40.92,40.92,4667,
2022-11-15,40.92,40.92,13033,
2022-11-14,39.0,39.0,9842,
2022-11-11,41.04,41.04,7875,
2022-11-10,42.96,42.96,15908,
2022-11-09,38.52,38.52,10817,
2022-11-08,41.28,41.28,19875,
2022-11-07,47.52,47.52,10808,
2022-11-04,48.6,48.6,15175,
2022-11-03,48.84,48.84,11358,
2022-11-02,51.0,51.0,17067,
2022-11-01,55.56,55.56,34625,
2022-10-31,56.28,56.28,18333,
2022-10-28,56.52,56.52,19608,
2022-10-27,56.88,56.88,38775,
2022-10-26,58.2,58.2,19475,
2022-10-25,60.48,60.48,52217,
2022-10-24,57.72,57.72,56250,
2022-10-21,56.4,56.4,20250,
2022-10-20,56.88,56.88,33675,
2022-10-19,66.0,66.0,128100,
2022-10-18,53.52,53.52,56717,
2022-10-17,55.2,55.2,81242,
2022-10-14,60.6,60.6,78958,
2022-10-13,62.52,62.52,109800,
2022-10-12,66.48,66.48,338142,
2022-10-11,59.04,59.04,242267,
2022-10-10,72.0,72.0,1243725,
2022-10-07,84.0,84.0,1913858,
2022-10-06,76.8,76.8,596275,
2022-10-05,118.56,118.56,3403317,
2022-10-04,65.16,65.16,1410383,
2022-10-03,39.24,39.24,31758,
2022-09-30,36.48,36.48,36033,
2022-09-29,37.32,37.32,55458,
2022-09-28,36.36,36.36,1790308,
2022-09-27,28.08,28.08,17992,
2022-09-26,28.56,28.56,35408,
2022-09-23,31.2,31.2,546542,
2022-09-22,28.8,28.8,56345,
2022-09-21,50.4,50.4,9449,
2022-09-20,55.2,55.2,2833,
2022-09-19,55.2,55.2,4306,
2022-09-16,57.6,57.6,5560,
2022-09-15,62.4,62.4,1930,
2022-09-14,64.8,64.8,1264,
2022-09-13,67.2,67.2,5118,
2022-09-12,64.8,64.8,3625,
2022-09-09,64.8,64.8,2871,
2022-09-08,62.4,62.4,4138,
2022-09-07,64.8,64.8,4210,
2022-09-06,67.2,67.2,1779,
2022-09-02,67.2,67.2,2425,
2022-09-01,69.6,69.6,2977,
2022-08-31,72.0,72.0,2527,
2022-08-30,69.6,69.6,2635,
2022-08-29,69.6,69.6,5110,
2022-08-26,69.6,69.6,1690,
2022-08-25,74.4,74.4,3218,
2022-08-24,76.8,76.8,4355,
2022-08-23,74.4,74.4,8019,
2022-08-22,76.8,76.8,4073,
2022-08-19,81.6,81.6,2348,
2022-08-18,81.6,81.6,5446,
2022-08-17,88.8,88.8,1826,
2022-08-16,91.2,91.2,3260,
2022-08-15,91.2,91.2,6954,
2022-08-12,96.0,96.0,2582,
2022-08-11,98.4,98.4,6498,
2022-08-10,93.6,93.6,1250,
2022-08-09,93.6,93.6,1612,
2022-08-08,96.0,96.0,5800,
2022-08-05,86.4,86.4,1136,
2022-08-04,86.4,86.4,1715,
2022-08-03,86.4,86.4,2812,
2022-08-02,81.6,81.6,1301,
2022-08-01,79.2,79.2,1860,
2022-07-29,81.6,81.6,2025,
2022-07-28,79.2,79.2,4078,
2022-07-27,76.8,76.8,2712,
2022-07-26,79.2,79.2,1795,
2022-07-25,81.6,81.6,2274,
2022-07-22,81.6,81.6,2014,
2022-07-21,84.0,84.0,3077,
2022-07-20,88.8,88.8,3388,
2022-07-19,88.8,88.8,1945,
2022-07-18,84.0,84.0,3354,
2022-07-15,84.0,84.0,3381,
2022-07-14,86.4,86.4,1013,
2022-07-13,86.4,86.4,760,
2022-07-12,88.8,88.8,785,
2022-07-11,91.2,91.2,1771,
2022-07-08,91.2,91.2,2781,
2022-07-07,88.8,88.8,2992,
2022-07-06,86.4,86.4,1813,
2022-07-05,88.8,88.8,1335,
2022-07-01,88.8,88.8,873,
2022-06-30,91.2,91.2,2270,
2022-06-29,93.6,93.6,2286,
2022-06-28,96.0,96.0,2412,
2022-06-27,98.4,98.4,3343,
2022-06-24,96.0,96.0,2867,
2022-06-23,93.6,93.6,3165,
2022-06-22,93.6,93.6,2497,
2022-06-21,93.6,93.6,4756,
2022-06-17,93.6,93.6,3142,
2022-06-16,93.6,93.6,5142,
2022-06-15,103.2,103.2,6679,
2022-06-14,108.0,108.0,7397,
2022-06-13,110.4,110.4,2938,
2022-06-10,124.8,124.8,6245,
2022-06-09,136.8,136.8,3277,
2022-06-08,139.2,139.2,2677,
2022-06-07,139.2,139.2,2573,
2022-06-06,144.0,144.0,2655,
2022-06-03,153.6,153.6,5935,
2022-06-02,165.6,165.6,962,
2022-06-01,158.4,158.4,708,
2022-05-31,165.6,165.6,1006,
2022-05-27,163.2,163.2,1207,
2022-05-26,163.2,163.2,1328,
2022-05-25,160.8,160.8,894,
2022-05-24,151.2,151.2,1265,
2022-05-23,160.8,160.8,849,
2022-05-20,160.8,160.8,1304,
2022-05-19,165.6,165.6,1580,
2022-05-18,163.2,163.2,947,
2022-05-17,168.0,168.0,2753,
2022-05-16,165.6,165.6,2524,
2022-05-13,160.8,160.8,2225,
2022-05-12,148.8,148.8,1510,
2022-05-11,156.0,156.0,2112,
2022-05-10,148.8,148.8,2044,
2022-05-09,148.8,148.8,4882,
2022-05-06,170.4,170.4,1693,
2022-05-05,172.8,172.8,1910,
2022-05-04,172.8,172.8,2589,
2022-05-03,182.4,182.4,3494,
2022-05-02,172.8,172.8,1679,
2022-04-29,175.2,175.2,2611,
2022-04-28,170.4,170.4,4305,
2022-04-27,182.4,182.4,3080,
2022-04-26,187.2,187.2,1754,
2022-04-25,192.0,192.0,2709,
2022-04-22,192.0,192.0,2787,
2022-04-21,187.2,187.2,6630,
2022-04-20,223.2,223.2,1101,
2022-04-19,232.8,232.8,2335,
2022-04-18,235.2,235.2,4352,
2022-04-14,228.0,228.0,1290,
2022-04-13,230.4,230.4,1251,
2022-04-12,225.6,225.6,1233,
2022-04-11,230.4,230.4,1847,
2022-04-08,235.2,235.2,1068,
2022-04-07,230.4,230.4,1537,
2022-04-06,240.0,240.0,1638,
2022-04-05,235.2,235.2,3461,
2022-04-04,244.8,244.8,1168,
2022-04-01,247.2,247.2,1190,
2022-03-31,249.6,249.6,1444,
2022-03-30,256.8,256.8,1920,
2022-03-29,254.4,254.4,1888,
2022-03-28,247.2,247.2,2366,
2022-03-25,256.8,256.8,2067,
2022-03-24,252.0,252.0,2224,
2022-03-23,259.2,259.2,2253,
2022-03-22,256.8,256.8,4558,
2022-03-21,254.4,254.4,3144,
2022-03-18,264.0,264.0,2383,
2022-03-17,261.6,261.6,4037,
2022-03-16,242.4,242.4,2295,
2022-03-15,240.0,240.0,3275,
2022-03-14,247.2,247.2,8620,
2022-03-11,256.8,256.8,4587,
2022-03-10,283.2,283.2,3343,
2022-03-09,278.4,278.4,7920,
2022-03-08,297.6,297.6,20093,
2022-03-07,357.6,357.6,47519,
2022-03-04,271.2,271.2,8643,
2022-03-03,259.2,259.2,3918,
2022-03-02,256.8,256.8,5433,
2022-03-01,266.4,266.4,5283,
