3. Product Sales Analysis (Reported & Underlying Growth),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Table of Contents
,,FY20 Reported,,,,FY21 Reported & Underlying Growth,,,,,,,,,,,,,,,
,,,,,,YOY,,,YOY,,,,YOY,,,,YOY,,,,
,(Bn JPY),Q1,Q2,Q3,Q4,Q1,Reported,Underlying,Q2,Reported,Underlying,YTD Underlying,Q3,Reported,Underlying,YTD Underlying,Q4,Reported,Underlying,YTD Underlying,
Hereditary Angioedema,,38.3,34.6,33.4,33,39,0.018000000000000002,-0.017,35.2,0.018000000000000002,-0.022000000000000002,-0.019,43.5,0.30100000000000005,0.21100000000000002,0.054000000000000006,35.8,0.087,0.008,0.043,
,TAKHZYRO,23.2,20.5,22.1,20.8,25.5,0.096,0.06,22.1,0.076,0.032,0.047,30.9,0.395,0.29600000000000004,0.132,24.8,0.192,0.099,0.12400000000000001,
,FIRAZYR,8.1,7.1,5,6.7,6.9,-0.151,-0.18300000000000002,7.5,0.059000000000000004,0.021,-0.08800000000000001,7.1,0.439,0.35000000000000003,0.022000000000000002,5.2,-0.22399999999999998,-0.265,-0.05,
,CINRYZE *3,5.9,6.1,5.2,4.6,5.6,-0.057,-0.092,4.6,-0.24300000000000002,-0.273,-0.184,4.5,-0.142,-0.198,-0.188,4.6,-0.002,-0.07200000000000001,-0.16399999999999998,
,KALBITOR,1.1,0.9,1.1,0.8,1.1,0.027999999999999997,0.008,1.1,0.14,0.099,0.051,1,-0.115,-0.179,-0.031000000000000003,1.2,0.5,0.363,0.051,
Others,,0,0,0,0,0,-,-,0,-,-,-,0.2,-,-,-,1.1,-,-,-,
,*1 The figures include the amounts of fixed dose combinations and blister packs.,,,,,,,,,,,,,,,,,,,,
,*2 Generic name: pantoprazole,,,,,,,,,,,,,,,,,,,,
,*3 PDT products,,,,,,,,,,,,,,,,,,,,
,"*4 Other PDT products in Rare Hematology include BEBULIN, PROTHROMPLEX and Factor VII.",,,,,,,,,,,,,,,,,,,,
,"*5 Other in Rare Hematology include VONVENDI, OBIZUR, RIXUBIS, AGRYLIN/XAGRI, OCTOFACTOR, COAGIL-VII, INNONAFACTOR, and Other Hemophilia.",,,,,,,,,,,,,,,,,,,,
,,FY20 Reported,,,,FY21 Reported & Underlying Growth,,,,,,,,,,,,,,,
,,,,,,YOY,,,YOY,,,,YOY,,,,YOY,,,,
