Unnamed: 0,Unnamed: 1,Unnamed: 2
,,
,Bbl,Standard barrel containing 42 US gallons
,BOE,Barrel of Oil equivalent
,BTU,British Thermal Unit - raise temp of 1 lb of water 1 degree F
,MCF,1000 cubic feet
