Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Indication,MOA,Approval,Economics,IP,,Price,142.0,
,Tysabri (natalizumab),Multiple Sclerosis,VLA4,,,,,Shares,146.0,Q424
,Avonex,Multiple Sclerosis,IFN,,,,,MC,20732.0,
,Aduhelm (aducanumab),Alzheimer's,amyloid-beta mab,,,,,Cash,2400.0,Q424
,Tecfidera,Multiple Sclerosis,,,,,,Debt,3900.0,Q424
,Spinraza (nusinersen),SMA,,,IONS,,,EV,22232.0,
,Vumerity (diroximel fumarate),Multiple Sclerosis,,,,,,,,
,Benepali,,,,,,,Founded: 1978,,
,Imraldi,,,,,,,,,
,Leqembi (lecanemab),Alzheimer's,amyloid-beta mab,7/6/23 full approval PDUFA,,,,,,
,Lunsumio (mosunetuzumab),FL,CD20xCD3,,,,,,,
,Flixabi,,,,,,,,,
,"Tofidence (tocilizumab, fka BIIB800)",Rheumatoid Arthritis,IL-6,,,,,,,
,Qalsody (tofersen),SOD1-ALS,,2023-04-25 00:00:00,IONS,,,,,
,Zurzuvae (zuranolone),PPD,,2023-08-05 00:00:00,SAGE,,,,,
,Skyclarys (omaveloxolone),Friedreich's Ataxia,,,,,,,,
,Byooviz (ranibizumab),AMD,VEGF,,,,,"Cambridge, MA",,
,,,,Phase,,,,CEO: Chris Viehbacher replaced ,,
,litifilimab,CLE/SLE,,II/III,,,,,,
,BIIB122,Parkinson's,LRRK2,III,DNLI,,,,,
,BIIB091,MS,BTK,II,,,,,,
,dapirolizumab pegol,SLE,,III,UCB,,,,,
,AL01811,Parkinson's,GBA2 inhibitor,,,,,,,
,zorevunersen,,,,STOK,,,,,
,felzartamab,"AMR, IgAN, PMN",CD38,III,,,,,,
,izastobart,Complemented,C5aR1 mab,,,,,,,
,glofitamab,,,,,,,,,
,BIIB080,Alzheimer's,MAPT ASO,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,BIIB093 discontinued,,,,,,,,,
,BIIB132 discontinued,,,,,,,,,
,"Discontinued: BIIB113, BIIB094, BIIB101 (SMA), BIIB143 (cemdomespib in )",,,,,,,,,
,BIIB124?,,,,,,,,,
