Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Drugs,,,,,,,
,,Brand,Generic,Approval,Economics,MOA,Revenue,Trials
,,Verzenio,abemaciclib,,LLY,CDK4/6,,
,,Herceptin,trastuzumab,,Roche,,,
,,Kadcyla,trastuzumab emtansine,,Roche,,,
,,Enhertu,trastuzumab deruxtecan,,Daiichi/AZN,,,
,,Perjeta,pertuzumab,,Roche,,,
,,Arimidex,anastrozole,,AZN,aromatase,,
,,Femara,letrozole,,NVS,aromatase,,
,,Faslodex,fulvestrant,,,,,
,,Aromasin,exemestane,,PFE,aromatase,,
,,,neratinib,,,,,
,,Piqray,alpelisib,,,,,
,,,imlunestrant,Filing?,LLY,SERD,,"NCT04975308, NCT05514054, NCT04188548, NCT05307705"
,,,sacituzumab govitecan,,,,,
,,Avastin,bevacizumab,,Roche,,,
,,Ibrance,palbociclib,,PFE,,,
,,Kisqali,ribociclib,,NVS,,,
,,,tamoxifen,,,,,
,,,tucatinib,,,,,
,,,capecitabine,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,ARV-471,vepdegestrant,III,ARVN/PFE,SERD PROTAC,,
,,,camizestrant,,,,,
,,ZN-c5,,,,,,
,,,talazoparib,,,,,
,,,datopotamab deruxtecan,,,,,
,,SAR439859,amcenestrant,,SNY,SERD,,
