Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,2021.0,2022.0,2023.0,2024.0
,Revenue,106190.154,124099.843,147693.604,170899.152
,COGS,,9896.113,11620.203,
,Gross Profit,,114203.73,136073.40099999998,
,Excise Taxes,,18495.818,22234.175,
,S&M,,3297.724,4648.613,
,G&A,,9012.191,9729.389,
,Operating Costs,,-953.5369999999966,-8484.071,
,Operating Income,,115157.26699999999,144557.47199999998,
,Taxes,,22325.449,26141.0,
,Net Income,,92831.818,118416.47199999998,142099.76639999996
,,,,,
,,,,,
,,,,,
,,,,,
,Revenue y/y,,0.16865677584383199,0.19011918492112834,0.1571195188655563
,Gross Margin,,0.9202568451275156,0.9213222327488196,
