Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand,Generic,MOA,Indication,Disposition,Economics,Approval,Subsidiary,Administration,Notes
,"Darzalex, JNJ-54767414",daratumumab,Anti-CD38,Multiple Myeloma,Approved,HALO,,,IV,
,Doxil/Caelyx (doxorubicin),,,Oncology,$400m in 2007?,2009?,11/17/1995,"Alza, Sequus",IV,
,Flexeril,,,,,,1990?,McNeil,,
,"Imbruvica, fka PCI-32765",ibrutinib,BTK,"MCL, CLL",,AbbVie (Pharmacyclics),,,,
,Invega,paliperidone,D2,Schizophrenia,Generic,,,,,
,"Invokana, JNJ-28431754",canagliflozin,SGLT2,Type 2 Diabetes,,,,,,
,Nucynta,tapentadol,,Pain,Divested,,,,,
,Procrit,,EPO,Anemia,,,,,,
,Risperdal,risperidone,D2,Janssen,Generic,1,1993,,Oral,
,"Simponi, CNTO148",golimumab,TNF,RA,,,,,,
,"Sirturo, fka TMC207",bedaquiline,diarylquinolone,Tuberculosis,,,,,,
,Stelara,ustekinumab,,"Psoriasis, PBC",,,,,,
,"Sylvant, fka CNTO328",siltuximab,IL-6,"Castleman's, Multiple Myeloma, HRPC, NHL",Divested to EUSA,,,,,
,"Tecvayli, fka JNJ-64007957",teclistamab,BCMA/CD3,Multiple Myeloma,,,,,,
,"Tremfya, fka CNTO1959",guselkumab,IL-23,"Psoriasis, RA",,,,,,
,Xarelto,rivaroxaban,,ACS,,,,,,
,"Zytiga, JNJ-212082",abiraterone,,CRPC,Generic,,,,,
,Ortho Novum,,1/1990?,Ortho Mcneil,,,,,,
,Micronor,,1/1990?,Ortho Mcneil,,,,,,
,Modicon 28,,1/1990?,Ortho Mcneil,,,,,,
,,ambucetamide,1955,Janssen,,,,,,
,,fentanyl,1963,Janssen,,,,,,
,,pimozide,1970,Janssen,,,,,,
,,mebendazole,1972,Janssen,,,,,,
,,loperamide,1973,Janssen,,,,,,
,ReoPro,abciximab,,,,,,,,
,Ditropan,,,,,,,,,
,Ultram,,,,,,,,,
,Duragesic (fentanyl),Pain,Fentanyl,1,Patch,Fentora,,,,
,Aciphex (rabeprazole),GERD,PPI,Eisai,Oral,PPIs,,2013,,
,Levaquin (levofloxacin),Infection,Quinolone,Daiichi,Oral/IV,"Avelox, Tequin, Cipro",,2010/2011,,
,Topamax (topiramate),"Migraine, Epilepsy",Unknown,1,Oral,Treximet,,Expired,,
,Incivo (telaprevir),HCV,Protease,VRTX,Oral,"SGP, GILD",,NCE,,
,Razadyne,Alzheimer's,,"100%, Takeda partnership in Japan",Oral,,2001,Expired,,
,Nucynta IR/ER (tapentadol),Pain,Opiate/NRI,Gruenthal,Oral,Oxycontin,,NCE?,,
,Natrecor (nesiritide),CHF,BNP,1,IV,Nitroglycerin,,2014,,
,Contraceptives,Contraception,Hormones,1,Various,"WPI, BRL drugs",,Various,,
,Sporanox (itraconazole),,,,,,,Expired,,
,Ultram ER,Pain,,BVF,Oral,,,"2014, IPXL challenge",,
,Doribax (doripenem),"nPneumonia , gram-",Carbopenem,1,IV,,,NCE,,
,Olysio (simeprevir),HCV,Protease,Medivir,Oral,Incivek,,,,
,Velcade (bortezomib),Multiple Myeloma,Proteasome,Takeda,IV,,2014/2022,,,
,,,,,,,Phase,Subsidiary,Administration,Notes
,CNTO0007/42037788,,,,,,,,,
,CNTO136,sirukumab,IL6,"Rheumatoid Arthritis, Depression, Lupus",Discontinued,GSK,,,,
,CNTO2476,,,,,,,,,
,CNTO3157,,,,,,,,,
,,,IL6,Multiple Myeloma,,,,,,
,CNTO6785,,,COPD,,,,,,
,CNTO888,carlumab,CCL2 (CC-Chemokine 2 mab),"IPF; mCRPC no responses, pain improvement",,,,,,
,CNTO95,intetumumab,"alpha-V, beta-1,3,5,6",Oncology,,,,,,
,Comfyde,,,,,,,,,
,JNJ-17166864,,CCR2,Rhinitis,,,,,IN,
,JNJ-17216498,,H3 antagonist,Narcolepsy,,,II,,Oral,
,JNJ-17299425,,,TBI,,,,,,
,JNJ-18038683,,5-HT7,"Depression, Bipolar",,,,,,
,JNJ-18054478,,,,,,,,,
,JNJ-26481585/RV568,,HDAC,,,,,,,
,JNJ-26489112,,"Na+, Ca2+ channel blocker","Depression, Epilepsy",Discontinued,100%?,II,,Oral,Topiramate successor
,JNJ-26528398,,,,,,,,,
,JNJ-31001074,,,,,,,,,
,JNJ-37822681,Schizophrenia,"D2 antagonist, ""fast D2""",Schizophrenia,,,,,,
,JNJ-38518168,,,"Asthma, RA",,,,,,
,JNJ-39393406,,,,,,,,,
,JNJ-39439335,,,Osteoarthritis,,,,,,
,JNJ-39758979,,H4 antagonist,"Rheumatoid Arthritis, Atopic Dermatitis, Asthma",,,,,,
,JNJ-39823277,,,,,,,,,
,JNJ-40346527,,,"NHL, RA",,,,,,
,JNJ-40411813,,mGluR2 PAM,"Schizophrenia, Depression",,,,,,
,JNJ-42165279,,,"Anxiety, Pain",,,,,,
,JNJ-42721458,,,,,,,,,
,JNJ-42756493,,,Cancer,,,,,,
,JNJ-42847922,,,Depression,,,,,,
,JNJ-49095397,,,COPD,,,,,,
,JNJ-54452840,,,Heart Failure,,,,,,
,"JNJ-54781532, ASP015K",peficitinib,JAK,UC,Returned license?,,,,,
,JNJ-54861911,atabecestat,BACE1,Alzheimer's,,,,,,
,JNJ-56021927,,,,,,,,,
,JNJ-64565111,,GLP-1,T2D,Returned license,Hanmi,,,,
,Priligy,dapoxetine,,,,,,,,
,RWJ241947,netoglitazone,,,,,,,,
,RWJ445380,,cathepsin-S inhibitor,,,,,,,
,TMC278,,,HIV,,,,,,
,TMC435,,,,,,,,,
,TMC353121,,,RSV,,,,,,
,,bapineuzumab,,Alzheimer's,,ELN,,,,
,,siltuximab,,MGUS/Multiple Myeloma,,,,,,
,,esketamine,,Treatment Resistant Depression,,,,,,
,,,,,,,,,,
,Sparlon,,,,,,,,,
,OROS Hydromorphone,,,,,,,,,
,SCIO-469,,,,,,,,,
,Comfyde,,,,,,,,,
,LTA4?,,,,,,,,,
,Anti-CD3?,,,,,,,,,
,"CNTO528, an EPO mimetibody",,,,,,,,,
,"CCR2, topical for RA",,,,,,,,,
,aprocitentan,,ERA,III,Oral,100%?,,,,
,AAV-CNGB3,Achromatopsia,,II,,MGTX?,,,,
