Finance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Name,Ticker,Price,MC,NC,EV,S/O,Update,Last,NPV,Upside,Discount,Terminal,ROIC,Founded
x,JPMorgan Chase,JPM,,,,,,,,,,,,,
x,Bank of America,BAC,,,,,,,,,,,,,
x,Industrial & Comm Bank of China,601398 CH,,,,,,,,,,,,,
x,Wells Fargo,WFC,,,,,,,,,,,,,
x,Agricultural Bank of China,1288 HK,,,,,,,,,,,,,
x,Morgan Stanley,MS,,,,,,,,,,,,,
x,China Construction Bank,939 HK,,,,,,,,,,,,,
x,Goldman Sachs,GS,,,,,,,,,,,,,
x,Bank of China,3988 HK,,,,,,,,,,,,,
x,Blackstone,BX,,,,,,,,,,,,,
x,HSBC Holdings,HSBA LN,,,,,,,,,,,,,
x,Commonwealth,CBA AU,,,,,,,,,,,,,
x,Royal Bank of Canada,RY CN,,,,,,,,,,,,,
x,Citigroup,C,,,,,,,,,,,,,
x,Progressive,PGR,,,,,,,,,,,,,
x,Mitsubishi UFJ,8306 JP,,,,,,,,,,,,,
x,Blackrock,BLK,,,,,,,,,,,,,
x,HDFC Bank,HDFCB IN,,,,,,,,,,,,,
x,Schwab,SCHW,,,,,,,,,,,,,
x,Allianz,ALV GR,,,,,,,,,,,,,
x,KKR,KKR,,,,,,,,,,,,,
x,Ping An Insurance,2318 HK,,,,,,,,,,,,,
x,UBSG SW,UBS,,,,,,,,,,,,,
x,Marsh & McLennan,MMC,,,,,,,,,,,,,
x,Chubb,CB,,,,,,,,,,,,,
x,Al Rajhi Bank,RJHI AB,,,,,,,,,,,,,
x,Toronto-Dominion Bank,TD CN,,,,,,,,,,,,,
x,ICICI Bank,ICICIBC IN,,,,,,,,,,,,,
x,Brookfield,BN CN,,,,,,,,,,,,,
x,Interactive Brokers,IBKR,,,,,,,,,,,,,
x,Sumitomo Mitsui,8316 JP,,,,,,,,,,,,,
x,Intercontinental Exchange,ICE,,,,,,,,,,,,,
x,American Express,AXP,,,,,,,,,,,,,
x,China Merchants Bank,600036 CH,,,,,,,,,,,,,
x,China Life Insurance,2628 HK,,,,,,,,,,,,,
x,Prosus,PRX NA,,,,,,,,,,,,,
x,Softbank,9984 JP,,,,,,,,,,,,,
x,Investor AB,INVEB SS,,,,,,,,,,,,,
x,Banco Santander,SAN SM,,,,,,,,,,,,,
x,CME Group,CME,,,,,,,,,,,,,
x,Apollo,APO,,,,,,,,,,,,,
x,AON,AON,,,,,,,,,,,,,
x,Strategy,MSTR,,,,,,,,,,,,,
x,National Australia Bank,NAB AU,,,,,,,,,,,,,
x,PNC Financial Services,PNC,,,,,,,,,,,,,
x,Capital One,COF,,,,,,,,,,,,,
x,State Bank of India,SBIN IN,,,,,,,,,,,,,
x,Westpac Banking,WBC AU,,,,,,,,,,,,,
x,Unicredit,UCG IM,,,,,,,,,,,,,
x,US Bancorp,USB,,,,,,,,,,,,,
x,Bank of Montreal,BMO CN,,,,,,,,,,,,,
x,Banco Bilbao,BBVA SM,,,,,,,,,,,,,
x,Mizuho,8411 JP,,,,,,,,,,,,,
x,Postal Savings Bank of China,1658 HK,,,,,,,,,,,,,
x,Zurich Insurance,ZURN SW,,,,,,,,,,,,,
x,AXA,CS FP,,,,,,,,,,,,,
x,BNP Paribas,BNP FP,,,,,,,,,,,,,
x,London Stock Exchange,LSEG LN,,,,,,,,,,,,,
x,Bank of Nova Scotia,BNS CN,,,,,,,,,,,,,
x,Bank of New York Mellon,BK US,,,,,,,,,,,,,
x,Truist Financial,TFC US,,,,,,,,,,,,,
x,Simon Property Group,SPG US,,,,,,,,,,,,,
x,CIBC,CM CN,,,,,,,,,,,,,
x,Aflac,AFL US,,,,,,,,,,,,,
x,Metlife,MET US,,,,,,,,,,,,,
x,Macquarie,MQG AU,,,,,,,,,,,,,
x,Life Insurance Corporation,LICI IN,,,,,,,,,,,,,
x,Digital Reality Trust,DLR,,,,,,,,,,,,,
x,Travelers Companies,TRV,,,,,,,,,,,,,
x,Citic Securities,600030 CH,,,,,,,,,,,,,
x,Itau Unibanco,ITUB4 BZ,,,,,,,,,,,,,
x,The Saudi National Bank,SNB AB,,,,,,,,,,,,,
x,ING Groep NV,INGA NA,,,,,,,,,,,,,
x,Barclays,BARC LN,,,,,,,,,,,,,
x,Ameriprise Financial,AMP,,,,,,,,,,,,,
x,Manulife Financial,MFC CN,,,,,,,,,,,,,
x,Allstate,ALL,,,,,,,,,,,,,
x,Swiss Re,SREN SW,,,,,,,,,,,,,
x,Lloyds Banking Group,LLOY LN,,,,,,,,,,,,,
x,Discover Financial,DFS US,,,,,,,,,,,,,
x,Credit Agricole SA,ACA FP,,,,,,,,,,,,,
x,DBS Group,DBS SP,,,,,,,,,,,,,
x,Brookfield Asset,BAM CN,,,,,,,,,,,,,
x,People's Insurance Co,1339 HK,,,,,,,,,,,,,
