Finance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
x,China Pacific Insurance,601601 CH,,,,,,,,,,,,,
x,Deutsche Bank AG,DBK GR,,,,,,,,,,,,,
x,Prudential,PRU,,,,,,,,,,,,,
x,Picc Property & Casualty,2328 HK,,,,,,,,,,,,,
x,Bank Rakyat Indonesia,BBRI IJ,,,,,,,,,,,,,
x,Axis Bank Ltd,AXSB IN,,,,,,,,,,,,,
x,National Bank of Canada,NA CN,,,,,,,,,,,,,
x,Fairfax Financial,FFH CN,,,,,,,,,,,,,
x,CITIC Ltd,267 HK,,,,,,,,,,,,,
x,Raymond James,RJF,,,,,,,,,,,,,
x,M & T Bank,MTB,,,,,,,,,,,,,
x,Invest Bank,INVESTB UH,,,,,,,,,,,,,
x,DNB Bank ASA,DNB NO,,,,,,,,,,,,,
x,Amfin Financial,AFNL,,,,,,,,,,,,,
x,Sun Life Financial,SLF CN,,,,,,,,,,,,,
x,Societe Generale,GLE FP,,,,,,,,,,,,,
x,Ping An Bank,000001 CH,,,,,,,,,,,,,
x,Fifth Third Bancorp,FITB,,,,,,,,,,,,,
x,Arthur Gallagher,AJG,,,,,,,,,,,,,
x,Intesa Sanpaolo,ISP IM,,,,,,,,,,,,,
x,Bank of Communications,3328 HK,,,,,,,,,,,,,
x,Bank Central Asia,BBCA IJ,,,,,,,,,,,,,
x,Industrial Bank Co,601166 CH,,,,,,,,,,,,,
x,Ares Management,ARES,,,,,,,,,,,,,
x,Oversea-Chinese Banking Corp,OCBC SP,,,,,,,,,,,,,
x,China Citic Bank,998 HK,,,,,,,,,,,,,
x,Kotak Mahindra Bank,KMB IN,,,,,,,,,,,,,
x,First Abu Dhabi Bank,FAB UH,,,,,,,,,,,,,
x,CBRE Group,CBRE,,,,,,,,,,,,,
x,Nordea Bank,NDA FH,,,,,,,,,,,,,
x,Qatar Nationa Bank,QNBK QD,,,,,,,,,,,,,
x,Kuwait Finance House,KFH KK,,,,,,,,,,,,,
x,EQT AB,EQT SS,,,,,,,,,,,,,
x,Emirates NBD PJSC,EMIRATES UH,,,,,,,,,,,,,
x,KBC Group,KBC BB,,,,,,,,,,,,,
x,Intact Financial Corp,KBC BB,,,,,,,,,,,,,
x,BOC Hong Kong Holdings,2388 HK,,,,,,,,,,,,,
x,Blue Owl Capital,OWL,,,,,,,,,,,,,
x,MS&AD Insurance Group,8725 JP,,,,,,,,,,,,,
x,Bajaj Finserv,BJFIN IN,,,,,,,,,,,,,
x,Arch Capital,ACGL,,,,,,,,,,,,,
x,Standard Chartered,STAN LN,,,,,,,,,,,,,
x,Great-West Lifeco,GWO CN,,,,,,,,,,,,,
x,AIA Group,1299 HK,,,,,,,,,,,,,
x,Muenchener Rueckver,MUV2 GR,,,,,,,,,,,,,
x,Tokio Marine,8766 JP,,,,,,,,,,,,,
x,NU Holdings,NU,,,,,,,,,,,,,
x,Bajaj Finance,BAF IN,,,,,,,,,,,,,
x,ANZ Group,ANZ AU,,,,,,,,,,,,,
x,Generali,G IM,,,,,,,,,,,,,
x,3I Group,III LN,,,,,,,,,,,,,
x,Deutsche Boerse AG,DB1 GR,,,,,,,,,,,,,
x,Reality Income,O,,,,,,,,,,,,,
x,Natwest Group,NWG LN,,,,,,,,,,,,,
x,Goodman Group,GMG AU,,,,,,,,,,,,,
x,Partners Group,PGHN SW,,,,,,,,,,,,,
x,Shanghai Pudong Development Bank,600000 CH,,,,,,,,,,,,,
x,LivCK15,LIVCK15 MM,,,,,,,,,,,,,
x,Fannie Mae,FNMA,,,,,,,,,,,,,
