Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,Brand Name,Risperdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generic Name,risperidone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mechanism,Benzodiazapine; benzisoxazole. MW = 410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dopamine (D2) and serotonin (5HT2) antagonist. Ki = 0.12-7.3 nM for 5HT2, D2, alpha1/2 adrenergic and H1 receptors. Ki 47-253 nM for 5HT1C/1D/1A.  620-800 nM for D1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,  High affinity for serotonin and moderate affinity for dopamine.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PK,Absolute bioavailiability = 70% (CV=25%). Relative oral bioavailability is 94% (CV=10%). Metabolized in liver. CYP 2D6 hydroxylizes risperidone into main metabolite. 3 hour half-life. 21 hours for metabolite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Administration,Oral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Label,"Schizophrenia, Bipolar Mania, Irritability in Autism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clinical Studies,4 short-term schizophrenia studies. 1 long-term schizophrenia study. 2 short-term bipolar studies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IP,06/08 assuming pediatric extension. 30-month stay for MYL/RDY expires 5/06 and 6/06. M-tab stay expires 7/07 and 2/08. Oral solution stay expires 8/08 for Apotex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
