Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name,Ticker,Price,MC,NC,EV,SO,Update,Last
x,Disney,DIS,85.67,155370.0308446,-36998,192368.0308446,1813.58738,Q224,2024-08-13 00:00:00
x,Sony,6758 JP,,,,,,,
x,Netflix,NFLX,,,,,,,
x,Universal Music,UMG NA,,,,,,,
x,Warner Brothers Discovery,WBD,7.95,19479.9915141,-39602,59081.991514099995,2450.313398,Q124,2024-08-23 00:00:00
x,RELX,REL LN,,,,,,,
x,Moody's,MCO,,,,,,,
x,Thomson Reuters,TRI CN,,,,,,,
x,Wolters Kluwer,WKL NA,,,,,,,
x,Gartner,IT,,,,,,,
x,Sirius XM,SIRI,,,,,,,
x,Costar,CSGP,,,,,,,
x,Equifax,EFX,,,,,,,
x,Live Nation,LYV,,,,,,,
x,TKO Group,TKO,,,,,,,
x,Publicis,PUB PA,,,,,,,
x,Fox,FOXA,,,,,,,
