Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Citations,Date,Authors,Title,Journal,,
,80021,1992,JH Holland,"Adaptation in Natural and Artificial systems: an introductory analysis with applications to biology, control and artificial intelligence",Book,,
,34391,1986,"David E. Rumelhart, Geoffrey E. Hinton, Ronald J. Williams",Learning representations by back-propagating errors,Nature,,
,21162,1950,Alan Turing,Computing Machinery And Intelligence,Mind,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Journals,,,,,,Conferences
,ACM SIGKDD Explor,,,,,,AAAI - 
,Adv Neur Infor Proc Sys,,,,,,AI Magazine
,Artif Intel,,,,,,AISB
,Comm ACM,,,,,,CNLL - SIGNLL Conference on Computational Natural Language Learning
,Comput Intel,,,,,,ECAI - European Conference on AI
,Computational Linguistics,,,,,,EMNLP - Empirical Methods in NLP
,IEEE Intel Sys,,,,,,ICCL - International Conference on Computational Linguistics
,IEEE Signal Processing Magazine,,,,,,ICML
,IEEE Trans Pattern Anal Mach Intell,,,,,,ICPKRR - Principles of Knowledge Representation and Reasoning
,J Artif Intel Res,,,,,,IJCAI - International Joint Conference on AI
,J Mach Learn Res,,,,,,IWP - International Workshop on Paraphrasing
,Mach Learn,,,,,,NIPS
,Nature,,,,,,SIGART
,Neural Computation,,,,,,
,Neural Networks,,,,,,
,NIPS (Proc Advances in NIPS),,,,,,
,Science,,,,,,
