Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,"12/19/24: Acquires Featurespace, AI fraud detection",,,,,,,,Price,362,
,,,,,,,,,Shares,2079,Q325
,,,,,,,,,MC,752598,
,,,,,,,,,Cash,22986,Q325
,,,,,,,,,Debt,25171,Q325
,,,,,,,,,EV,754783,
