Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,Paid Ticket Volume,,,,,,,,,,,,,,,,,67427.0,87056.0,93443.0,
,,,,,,,,,,,,,,,,,,,,,
,Revenue,55875,66041,67472,71539,77914,78912,81544,87764,86252,84551,89698.40000000001,96540.40000000001,,,,187134.0,260927.0,326134.0,357041.80000000005,
,COGS,19973,23042,23450,24281,26395,24603,25867,26265,25032,24611,26012.536000000007,27996.716,,,,70294.0,90746.0,103130.0,103652.25200000001,
,Gross Profit,35902,42999,44022,47258,51519,54309,55677,61499,61220,59940,63685.864,68543.68400000001,,,,116840.0,170181.0,223004.0,253389.54800000004,
,PD,18518,22541,22249,23038,26564,23486,23041,25203,26684,26057,23041,25203,,,,66303.0,86346.0,98294.0,100985.0,
,S&M,13148,14263,14455,7426,17060,15679,21063,20772,20869,24521,21063,20772,,,,35916.0,49292.0,74574.0,87225.0,
,G&A,18817,19495,20596,22377,21718,21826,23137,24588,21237,15816,23137,24588,,,,82399.0,81285.0,91269.0,84778.0,
,Operating Expenses,50483,56299,57300,52841,65342,60991,67241,70563,68790,66394,67241,70563,,,,184618.0,216923.0,264137.0,272988.0,
,Operating Income,-14581,-13300,-13278,-5583,-13823,-6682,-11564,-9064,-7570,-6454,-3555.1359999999986,-2019.3159999999916,,,,-67778.0,-46742.0,-41133.0,-19598.45199999996,
,Other Income,-3401,-6952,-7926,9763,1748,4220,2391,8286,5860,8301,6209.5,7164.125,,,,-19897.0,-8516.0,16645.0,27534.625,
,Pretax Income,-17982,-20252,-21204,4180,-12075,-2462,-9173,-778,-1710,1847,2654.3640000000014,5144.809000000008,,,,-87675.0,-55258.0,-24488.0,7936.173000000039,
,Taxes,203,-164,-80,167,611,459,762,159,274,784,265.43640000000016,514.4809000000008,,,,1428.0,126.0,1991.0,1837.917300000001,
,Net Income,-18185,-20088,-21124,4013,-12686,-2921,-9935,-937,-1984,1063,2388.9276000000013,4630.328100000008,,,,-89103.0,-55384.0,-26479.0,6098.255700000038,
,EPS,-0.18640957828484736,-0.2049482222108861,-0.2210941670242718,0.04055337725857957,-0.12749364340773645,-0.02921146057302865,-0.09881639148597574,-0.00926832645874754,-0.02001836361985289,0.011039567971751998,0.024809716481462265,0.048087320594038925,,,,-0.9448585941062321,-0.5633894511978027,-0.2640006380921046,0.06287201833088943,
,Shares,97554,98015,95543,98956,99503,99995,100540,101097,99109,96290,96290,96290,,,,94303.0,98305.0,100299.0,96994.75,
,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.3944340044742729,0.19489408094971306,0.2085605880958028,0.22679936817679858,0.1070154272659598,0.07145934712084356,0.10000000000000009,0.10000000000000009,,,,,0.39433240351833443,0.2499051458837147,0.09477024781224919,
,Gross Margin,0.6425413870246085,0.6510955315637256,0.6524484230495613,0.6605907267364655,0.6612290474112483,0.6882223236009732,0.682784754243108,0.7007315072239186,0.7097806427677039,0.7089212428002034,0.71,0.7100000000000001,,,,0.6243654279820877,0.6522169035783955,0.6837802866306487,0.709691548720626,
,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,,,,,,632.197,,,,,,,,,,
,Funds Receivable,,,,,,,,,,28.869,,,,,,,,,,
,AR,,,,,,,,,,4.856,,,,,,,,,,
,Creator,,,,,,,,,,12.006,,,,,,,,,,
,Prepaids,,,,,,,,,,12.147,,,,,,,,,,
,PP&E,,,,,,,,,,12.643,,,,,,,,,,
,Lease,,,,,,,,,,1,,,,,,,,,,
,Goodwill,,,,,,,,,,183.52,,,,,,,,,,
,Other,,,,,,,,,,7.282,,,,,,,,,,
,Assets,,,,,,,,,,894.5200000000001,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"AP, Creators",,,,,,,,,,314.718,,,,,,,,,,
,AP,,,,,,,,,,1.467,,,,,,,,,,
,Chargebacks,,,,,,,,,,8.213,,,,,,,,,,
,Compensation,,,,,,,,,,8.534,,,,,,,,,,
,Taxes,,,,,,,,,,10.244,,,,,,,,,,
,Lease,,,,,,,,,,3.396,,,,,,,,,,
,OL,,,,,,,,,,13.062,,,,,,,,,,
,Debt,,,,,,,,,,358.725,,,,,,,,,,
,SE,,,,,,,,,,176.161,,,,,,,,,,
,L+SE,,,,,,,,,,894.5200000000002,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,-1984,1063,,,,,,,,,,
,Reported NI,,,,,,,,,-4490,1063,,,,,,,,,,
,D&A,,,,,,,,,3594,3648,,,,,,,,,,
,SBC,,,,,,,,,13962,15277,,,,,,,,,,
,Amortization of Debt,,,,,,,,,526,531,,,,,,,,,,
,FX,,,,,,,,,-1222,-104,,,,,,,,,,
,Accretion ,,,,,,,,,-1877,-892,,,,,,,,,,
,Lease,,,,,,,,,133,140,,,,,,,,,,
,Creator Signing Fees,,,,,,,,,194,207,,,,,,,,,,
,Creator Advances,,,,,,,,,423,-3343,,,,,,,,,,
,Chargebacks,,,,,,,,,5046,9513,,,,,,,,,,
,Gain on litigation settlement,,,,,,,,,0,-3927,,,,,,,,,,
,Other,,,,,,,,,155,468,,,,,,,,,,
,WC,,,,,,,,,47033,-55266,,,,,,,,,,
,CFFO,,,,,,,,,63477,-32685,,,,,,85834.0,8610.0,19018.0,30792.0,
,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,,99817,,,,,,,,,,
,PP&E/Software,,,,,,,,,,-5221,,,,,,-2533.0,-4451.0,-7170.0,-5221.0,
,CFFI,,,,,,,,,,94596,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Buybacks,,,,,,,,,,-36508,,,,,,,,,,
,ESOP Taxes,,,,,,,,,,-5322,,,,,,,,,,
,CFFF,,,,,,,,,,-41830,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,,,2741,,,,,,,,,,
,CIC,,,,,,,,,,22822,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,83301.0,4159.0,11848.0,25571.0,
