Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,Price KRW,57600.0,
,Device Solutions,,,,,,,,Shares,6758.91925,Q424
,DRAM,,,,,,,,MC KRW,389313.7488,
,,"HBM, DDR5",,,,,,,Cash KRW,112651.8,Q424
,S.LSI,,,,,,,,Debt KRW,19330.2,Q424
,Foundry,,,,,,,,EV KRW,295992.1488,
,,,,,,,,,,,
,,,,,,,,,,,
,SDC (Display),,,,,,,,,,
,,"Mobile, TV, Monitors",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mobile Experience (Devices),,,,,,,,,,
,S24,,,,,,,,,,
