Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand,"Empaveli, Aspaveli; fka APL-2",
,Generic,pegcetacoplan,
,Indication,"PNH, Geographic Atrophy",
,Economics,Sobi in Europe,
,MOA,C3 inhibitor,
,Administration,subcutaneous twice weekly 1080mg,
,IP,"US10035822B2 - 2033 patent, extending to 2035",
,,,PEG patent
,,7888323 - expires 2027,
,,,
,Competition,,
,Clinical Trials,,
,,,
,,,
,,"Phase III ""PRINCE"" n=53 treatment-naïve PNH - NCT04085601",
,,,
,,,
,,"Phase III ""PEGASUS"" n=80 PNH - NCT03050549",
,,,
,,,
,,"Phase III ""VALIANT"" n=124 IC-MPGN/C3G",
,,68% reduction in proteinuria,
,,,
,,"Phase II ""MERIDIAN"" ALS",
,,,
,,,
,,Phase II HSCT-TMA,
