Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Product,1769.369,,,,2393.821,,,
,Service,590.461,,,,669.208,,,
,Revenue,2359.83,0,0,0,3063.029,,,
,COGS,993.885,,,,1175.689,,,
,Gross Profit,1365.945,0,0,0,1887.34,,,
,R&D,,,,,338.043,,,
,SG&A,,,,,248.905,,,
,Operating Expenses,0,0,0,0,586.948,,,
,Operating Profit,1365.945,0,0,0,1300.3919999999998,,,
,,,,,,,,,
,,,,,,,,,
,Revenue y/y,,,,,0.29798714314166697,,,
,Gross Margin,0.5788319497590928,,,,0.6161678521489675,,,
