Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,"Q106: 7.4% growth driven by automated blood typing products, ongoing growth of ECI and success of Vitros 5, 1 FS Clinical Chemistry system.",,,,,,,,,,,,,,,
,"August 2009: GDH-PQQ testing strips found unsafe, ABT most exposed, JNJ to take share?",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,1995.0,1996.0,1997.0,1998.0,1999,2000,2001,2002,2003.0,2004,2005.0,2006.0,2007.0,2008.0,2009.0
,Diagnostics,1043.0,1080.0,1040.15,988.3929999999999,,,,,,,,,,,
,    U.S.,485.0,497.0,506.0,486.292,,,,,,,,,,,
,    International,558.0,583.0,534.15,502.10099999999994,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,LifeScan,,2002.0,2003.0,2004.0,2005E,2006E,2007E,2008E,,,,,,,
,Blood Banking & Other,388.0,405.0,420.0,440.0,468,490,514,542,,Competes with Immucor.,,,,,
,Clinical Chemistry,,,,,638,710,774,836,,,,,,,
,Immunoassay,129.0,152.0,174.0,198.0,236,268,300,336,,,,,,,
,Other,70.0,74.0,80.0,86.0,93,98,102,106,,,,,,,
,Total Ortho Dx ,,,,,,,,,,,,,,,
,WW Diagnostics,,,,,,,,,,,,,,,
