Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,OCL,,,,,,,,,,198.418,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,,2409.38,,,,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,428.587,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,,165.183,,,,,,,,,,,,,,,,,,,,,,
,OLTL,,,,,,,,,,224.52,,,,,,,,,,,,,,,,,,,,,,
,SE,,,,,,,,,,3773.094,,,,,,,,,,,,,,,,,,,,,,
,L+SE,,,,,,,,,,7948.283,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,,,,,105.53299999999997,126.35099999999997,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,,,,,74.482,94.261,,,,,,,,,,,,,,,,,,,,,,
,D&A,,,,,,,,,85.357,86.082,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,16.738,16.587000000000003,,,,,,,,,,,,,,,,,,,,,,
,DT,,,,,,,,,-0.987,-12.086,,,,,,,,,,,,,,,,,,,,,,
,Impairments,,,,,,,,,5.432,8.818,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,-5.88,-0.4249999999999998,,,,,,,,,,,,,,,,,,,,,,
,Credit Losses,,,,,,,,,0.839,3.8800000000000003,,,,,,,,,,,,,,,,,,,,,,
,Divestitures,,,,,,,,,0,0.659,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,1.999,7.090999999999999,,,,,,,,,,,,,,,,,,,,,,
,WC,,,,,,,,,-48.092,-11.331999999999994,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,129.88799999999998,193.535,,,,,,,,,,,,,,,760.799,619.64,683.898,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,228.772,327.733,318.528,,,,,
,Acquisitions,,,,,,,,,0,-5.479,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,,,,,-79.144,-39.48599999999999,,,,,,,,,,,,,,,,,,,,,,
,Investments,,,,,,,,,-6.647000000000001,-16.901999999999994,,,,,,,,,,,,,,,,,,,,,,
,CFFI,,,,,,,,,-85.79100000000001,-61.86699999999998,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Debt,,,,,,,,,8.399999999999977,-254.54399999999998,,,,,,,,,,,,,,,,,,,,,,
,ESOP,,,,,,,,,21.505,0.8260000000000005,,,,,,,,,,,,,,,,,,,,,,
,Buyback,,,,,,,,,-9.351,-8.914,,,,,,,,,,,,,,,,,,,,,,
,Purchases of Equity,,,,,,,,,0,-12,,,,,,,,,,,,,,,,,,,,,,
,Other,,,,,,,,,-2.208,-11.225999999999999,,,,,,,,,,,,,,,,,,,,,,
,CFFF,,,,,,,,,18.345999999999975,-285.858,,,,,,,,,,,,,,,,,,,,,,
,FX,,,,,,,,,-8.387,-3.3419999999999987,,,,,,,,,,,,,,,,,,,,,,
,CIC,,,,,,,,,54.05599999999994,-157.53199999999995,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,532.027,291.907,365.37,,,,,
