Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,Collaboration Inventories,,,,,,,,,,,,,,18.87,23.548,,,,,,,,,,,,,,,,,,,
,ONCA,,,,,,,,,,,,,,1.596,1.932,,,,,,,,,,,,,,,,,,,
,Collab Prepaids,,,,,,,,,,,,,,144.552,172.981,,,,,,,,,,,,,,,,,,,
,Intangibles,,,,,,,,,,,,,,2.772,2.507,,,,,,,,,,,,,,,,,,,
,ROU,,,,,,,,,,,,,,114.718,99.452,,,,,,,,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,105.313,104.40700000000001,,,,,,,,,,,,,,,,,,,
,Assets,,,,,,,,,,,,,,1798.183,1735.825,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AP,,,,,,,,,,,,,,39.49,26.906,,,,,,,,,,,,,,,,,,,
,Other Payables,,,,,,,,,,,,,,169.531,164.864,,,,,,,,,,,,,,,,,,,
,Grants,,,,,,,,,,,,,,7.119,7.102,,,,,,,,,,,,,,,,,,,
,Lease,,,,,,,,,,,,,,47.367000000000004,49.967999999999996,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,,,,,,,,,6.566,11.067,,,,,,,,,,,,,,,,,,,
,Contract,,,,,,,,,,,,,,77.54899999999999,63.161,,,,,,,,,,,,,,,,,,,
,Collaboration,,,,,,,,,,,,,,291.559,296.623,,,,,,,,,,,,,,,,,,,
,S/E,,,,,,,,,,,,,,1159.002,1116.107,,,,,,,,,,,,,,,,,,,
,L+S/E,,,,,,,,,,,,,,1798.183,1735.798,,,,,,,,,,,,,,,,,,,
