Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Brand,Generic,MOA,Indication,Approved,Company,Efficacy,Notes,Peak Revenue
,Revlimid,lenalidomide,cereblon,"Multiple Myeloma, DLBCL",,BMY,,,
,Pomalid,pomalidomide,cereblon,Multiple Myeloma,,BMY,,,
,Darzalex,daratumumab,CD38,Multiple Myeloma,,JNJ/GMAB,,,
,Carvykti,ciltacabtagene autoleucel,BCMA CART,Multiple Myeloma,,JNJ/LEGN,,,
,Abecma,idecabtagene vicleucel,BCMA CART,Multiple Myeloma,,BMY,,,
,Tecvayli,teclistamab,BCMAxCD3,Multiple Myeloma,,JNJ,,,
,Velcade,bortezomib,Proteasome inhibitor,Multiple Myeloma,,generic,,,
,Ninlaro,ixazomib,Proteasome inhibitor,Multiple Myeloma,,Takeda,,,
,Kyprolis,carfilzomib,Proteasome inhibitor,Multiple Myeloma,,AMGN,,,
,Empliciti,elotuzumab,,Multiple Myeloma,,BMY,,,
,,carmustine,,Multiple Myeloma,,generic,,,
,,melphalan,,Multiple Myeloma,,generic,,,
,Talvey,talquetamab,GPRC5DxCD3,Multiple Myeloma,,JNJ,,,
,Sarclisa,isatuximab,,Multiple Myeloma,,SNY,,,
,,,,,,,,,
,Imbruvica,ibrutinib,BTK,CLL/SLL,,JNJ/ABBV,,,
,Rituxan,rituximab,CD20,"NHL (LBCL), CLL/SLL",,Roche,,,
,Zydelig,idelalisib,PI3K,,,,,,
,Jaypirca,pirtobrutinib,BTK,CLL/SLL,,LLY,,,
,Treanda,bendamustine,nitrogen mustard,"LBCL, CLL/SLL",,generic,,,
,Adcetris,brentuximab vedotin,CD30 ADC,,,PFE,,,
,,vincristine,,,,generic,,Part of the CHOP regimen,
,Epkinly,epcoritamab,CD20xCD3,3L DLBCL,,ABBV,"63% ORR, 39% CR",,
,Polivy,polatuzumab,,DLBCL,,Roche,,,
,Gazyva,,CD20,,,Roche,,,
,Lunsumio,mosunetuzumab,CD20xCD3,,,,,,
,Gemzar,gemcitabine,,LBCL,,generic,,,
,Eloxatin,oxaliplatin,,LBCL,,generic,,,
,Yescarta,,CD19 CART,DLBCL,,,,,
,Kymriah,,CD19 CART,DLBCL,,,,,
,Breyanzi,,CD19 CART,DLBCL,,,,,
,Monjuvi,tafasitamab,CD19 mab,DLBCL,,,,,
,,linvoseltamab,BCMAxCD3,,,,,,
,,odronextamab,CD20xCD3,R/R FL,Filed,REGN,,,
,Zylonta,loncastuximab,,DLBCL,,,,,
,Xpovio,selinexor,,"Multiple Myeloma, DLBCL",,,,,
,,cyclophosphamide,,DLBCL,,,,Part of the CHOP regimen,
,,prednisone,,DLBCL,,,,Part of the CHOP regimen,
,,doxorubicin,,DLBCL,,,,Part of the CHOP regimen,
,,ifosfamide,,,,,,,
,Soliris,eculizumab,C5 mab,PNH,,AZN,,,
,Ultomiris,ravulizumab,C5 mab,PNH,,AZN,,,
,,,,,,,,,
,,,,,,,,,
,SIM0500,,BCMAxCD3xGPCR5D,Multiple Myeloma,,,,,
,IGM-2323,imvotamab,CD20xCD3,NHL,,IGMS,,,
,,pozelimab,C5 mab,PNH,,REGN,,,
,,cemdisiran,C5 siRNA,PNH,,ALNY,,,
