Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,Stock,P&L,Value,Absolute,Buys,Sells,Buy Avg,Sell Avg,Buy Amt,Sell Amt,Profit,Fee,P&L-ExFee,Fee %,Fee/Shr,Profit,
,AAPL,-33,-64140,64140,960,1260,212.53437,212.86148,204032.9952,268205.4648,0,44.74,11.740000000000002,9.474027168392849e-05,0.020153153153153153,1,
,ABT,93,0,0,500,500,127.56,127.76,63780,63880,1,6.89,99.89,5.3971486761710795e-05,0.006889999999999999,1,
,ADBE,41,-31491,31491,146,225,389.97253,393.26667,56935.98938,88485.00074999999,1,17.51,58.510000000000005,0.00012040902750247285,0.047196765498652295,1,
,AMZN,213,-10795,10795,660,715,196.16333,196.51692,129467.7978,140509.5978,1,29.07,242.07,0.000107675681274703,0.021141818181818182,1,
,AVGO,-265,9714,9714,1350,1300,194.02289,193.85577,261930.90149999998,252012.50100000002,0,60.32,-204.68,0.00011736700910369213,0.022762264150943397,0,
,BABA,-83,-44379,44379,700,1000,145.998,146.5084,102198.59999999999,146508.4,0,29.3,-53.7,0.00011780930975002714,0.01723529411764706,0,
,COST,-378,41265,41265,285,240,912.49579,910.25125,260061.30015000002,218460.30000000002,0,41.13,-336.87,8.595223285031891e-05,0.07834285714285714,0,
,F,0,0,0,0,0,0,0,0,0,0,0,0,,,0,
,GOOGL,292,-19748,19748,900,1020,164.674,164.98412,148206.6,168283.8024,1,36.91,328.90999999999997,0.0001166228097917196,0.019223958333333332,1,
,JNJ,23,0,0,70,70,162.81,163.17,11396.7,11421.9,1,2.33,25.33,0.00010210968245203475,0.016642857142857143,1,
,JPM,-383,12909,12909,385,330,234.07714,232.85833,90119.6989,76843.24889999999,0,15.22,-367.78,9.115794971607467e-05,0.021286713286713287,0,
,KO,70,0,0,300,300,69.655,69.905,20896.5,20971.5,1,4.65,74.65,0.00011106334193178562,0.007750000000000001,1,
,LLY,221,61801,61801,343,268,823.9872,824.98116,282627.6096,221094.95088000002,1,47.21,268.21,9.372222668568453e-05,0.07726677577741407,1,
,MA,-49,0,0,360,360,528.42444,528.40222,190232.7984,190224.7992,0,41.37,-7.630000000000003,0.00010873747892267088,0.05745833333333333,0,
,META,53,-1814,1814,297,300,603.52751,603.8328,179247.67047,181149.84,1,35.11,88.11,9.74202067994657e-05,0.0588107202680067,1,
,MSFT,-26,-11675,11675,0,30,0,388.36,0,11650.800000000001,0,1.33,-24.67,0.00011415525114155251,0.044333333333333336,0,
,NVDA,-165,11985,11985,1900,1800,120.08026,120.02167,228152.494,216039.006,0,43.44,-121.56,9.779565795383297e-05,0.01174054054054054,0,
,NVO,261,36414,36414,2550,2100,79.82853,79.73571,203562.7515,167444.991,1,36.17,297.17,9.7491226884571e-05,0.007778494623655915,1,
,ORCL,415,-14096,14096,2070,2161,153.67672,153.9093,318110.81039999996,332597.9973,1,57.76,472.76,8.876474287194437e-05,0.013651619002599858,1,
,PFE,65,13035,13035,3500,3000,25.87714,25.87833,90569.99,77634.98999999999,1,35.38,100.38,0.0002103385999629738,0.005443076923076924,1,
,PG,164,-20399,20399,60,180,169.52,170.77,10171.2,30738.600000000002,1,4.89,168.89,0.00011953126145813472,0.020374999999999997,1,
,TSLA,-731,0,0,1750,1750,237.57314,237.20205,415752.995,415103.5875,0,81.95,-649.05,9.86331476768435e-05,0.023414285714285714,0,
,TSM,626,35165,35165,2150,1950,175.1336,175.43333,376537.24,342094.99350000004,1,91.98,717.98,0.0001279931454675001,0.022434146341463415,1,
,UNH,-4,-14940,14940,120,150,496.045,496.481,59525.4,74472.15,0,11.11,7.109999999999999,8.291196368888834e-05,0.04114814814814815,1,
,V,289,0,0,480,480,333.57833,334.24,160117.5984,160435.2,1,28.57,317.57,8.912728306414312e-05,0.029760416666666668,1,
,WMT,-681,0,0,990,990,87.73611,87.06889,86858.74889999999,86198.20109999999,0,20.63,-660.37,0.00011920931231019615,0.010419191919191918,0,
,Total,28,-11189,455765,22826,22479,,,3950494.3896000003,3962461.8221299998,1,824.9700000000001,852.9700000000001,0.0001042556002998073,0.018209248427325905,1,
,,,,,,,,,7912956.21173,,,,,0.5384615384615384,,,0.6153846153846154
,,,,,,,,,,11967.432529999409,,11939.432529999409,,,,,
