Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,WAU,,,,,,,,,,342.3,,
,DAU,,,,,,,,,,91.2,,
,,,,,,,,,,,,,
,Revenue,,,,,,183.031,,,,281.184,,
,COGS,,,,,,28.836,,,,29.501,,
,Gross Profit,,,,,,154.195,,,,251.68300000000002,,
,R&D,,,,,,109.726,,,,142.777,,
,S&M,,,,,,59.225,,,,71.458,,
,G&A,,,,,,38.233,,,,68.487,,
,Operating Expenses,,,,,,207.184,,,,282.722,,
,Operating Income,,,,,,-52.989000000000004,,,,-31.03899999999996,,
,Interest Income,,,,,,13.306,,,,20.724,,
,Pretax Income,,,,,,-39.68300000000001,,,,-10.314999999999959,,
,Taxes,,,,,,1.426,,,,-0.216,,
,Net Income,,,,,,-41.10900000000001,,,,-10.09899999999996,,
,EPS,,,,,,-0.702619966261799,,,,-0.0614358919053395,,
,Shares,,,,,,58.508158,,,,164.382736,,
,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,,0.5362643486622485,,
,,,,,,,,,,,,,
,Gross Margin,,,,,,0.8424529178117367,,,,0.8950829350176397,,
,,,,,,,,,,,,,
,Reported NI,,,,,,-41.10900000000001,,,,-10.09899999999996,,
,Model NI,,,,,,-41.109,,,,-10.099,,
,D&A,,,,,,3.321,,,,3.77,,
,Lease,,,,,,3.415,,,,1.335,,
,Amort of premium,,,,,,-6.15,,,,-11.362,,
,SBC,,,,,,10.103,,,,64.266,,
,Other,,,,,,0.15,,,,0.141,,
,WC,,,,,,-23.783,,,,-19.666,,
,CFFO,,,,,,-54.053000000000004,,,,28.385,,
