Main,Unnamed: 1,Unnamed: 2
,Brand,Krystexxa
,Generic,pegloticase
,Indication,Gout
,Regulatory,BLA 125293 approved 9/14/2010
,Mechanism,
,Clinical Trials,
,,"Phase III ""AGILE"" shorter duration infusion"
,,similar to MIRROR
,,
,,"Phase III ""MIRROR"""
