Unnamed: 0,Unnamed: 1,Unnamed: 2
,Breast Cancer,
,Cervical,One of five main gynecological subtypes
,Colorectal,"2nd leading cause of deaths WW, 10% of diagnoses, 3rd most commonly diagnosed WW"
,Esophageal Cancer,"11th most diagnosed, 7th leading deaths. 511k WW diagnoses, 445k deaths."
,,"22k US diagnoses, 16k deaths. 5-year OS for advanced disease is 6%."
,Fallopian Tube Cancer,Rare gynecological cancer
,Gastroesophageal Adenocarcinoma (GEA),Major form of gastric cancer. 90-95% of gastric cancers are adenocarcinomas. Can be HER2 mutated
,,"5th most diagnosed, 5th largest cause of death. 969k WW diagnosed, 660k deaths."
,,"  US 27k diagnosed, 11k deaths. 5-year OS for advanced disease is 7%."
,Melanoma,
,Osteosarcoma,
,Ovarian,One of five main gynecological subtypes
,,  20k advanced patients/year?
,,  70-80% express folate receptor
,Prostate,"1,400,000 new diagnoses, 375,000 deaths a year WW. Jaratlerdsiri et al. Nature 2022."
,,"FOXA1, PTEN, SPOP, TP53, DNAH2, FAM66C, FOXP1, FXR2, PTEN, SHBG, ERG"
,,"DDX11L1, STK19, NCOA2, PCAT1, TMPRSS2"
,,
,Renal Cell Carcinoma,
,Uterine,One of five main gynecological subtypes. Serous histology.
,Vaginal,One of five main gynecological subtypes
,Vulvar,One of five main gynecological subtypes
