Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Vtama (tapinarof),"Psoriasis, AD",,,"JT, Torii",,Sold to Organon
,,,,,,,
,namilumab,Sarcoidosis,,,,Kinevant,failed
