Main,Unnamed: 1,Unnamed: 2
,Brand,Evrysdi
,Generic,
,Economics,PTCT
,Administration,oral
,Clinical Trials,
,,"Phase III ""SUNFISH"" n=231 Type 2/3 SMA - NCT0290685"
,,5-year data at MDA 2025
