Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,Name,Ticker,Price,MC,NC,EV,Update,SO,Last,NPV,Upside,ROIC,Terminal,Discount,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,Founded,Location
x,Procter & Gamble,PG,172.31,,,,,,,,,,,,,,,,,,,,,,,,,
x,L'Oreal,OR FP,393.9,232277.42336799004,4442.7,227834.72336799002,Q224,536.078431,2024-10-13 00:00:00,,,,,,,,,,,,,,,,,,,
x,Philip Morris,PM,119.72,,,,,,,,,,,,,,,,,,,,,,,,,
x,Kenvue,KVUE,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Unilever,ULVR LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,British American Tobacco,BATS LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Estee Lauder,EL,58.07,20890.7974786,-4667,25557.7974786,Q125,359.75198,2025-05-06 00:00:00,,,,,,,,,,,,,,,,,,,
x,Altria Group,MO,50.14,,,,,,,,,,,,,,,,,,,,,,,,,
x,Colgate-Palmolive,CL,102.37,,,,,,,,,,,,,,,,,,,,,,,,,
x,Imperial Brands,IMB LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Reckitt Benckiser,RKT LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Japan Tobacco,2914 JP,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Beiersdorf,BEI GR,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Haleon,HLN LN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,DSM-Firmenich,DSFIR NA,,,,,,,,,,,,,,,,,,,,,,,,,,
x,Church & Dwight,CHD,102.04,,,,,,,,,,,,,,,,,,,,,,,,,
x,Asian Paints,APNT IN,,,,,,,,,,,,,,,,,,,,,,,,,,
x,e.l.f. Beauty,ELF,113,6551.824298,-108,6659.824298,Q125,57.980746,2025-06-02 00:00:00,,,,,,,,,,,,,,,,,,,
