Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424
,Retail,,,,,5205,5140,5315,,5895,5779,6140,
,Other,,,,,596,698,869,,1219,1544,1726,
,Revenue,,,,,5801,5838,6184,,7114,7323,7866,
,COGS,,,,,4381,4314,4618,,5185,5181,5597,
,Gross Profit,,,,,1420,1524,1566,,1929,2142,2269,
,G&A,,,,,1313,1376,1478,,1889,2167,2160,
,Operating Income,,,,,107,148,88,,40,-25,109,
,Interest Income,,,,,17,23,29,,19,28,23,
,Pretax Income,,,,,124,171,117,,59,3,132,
,Taxes,,,,,33,26,26,,83,108,62,
,Net Income,,,,,91,145,91,,-24,-105,70,
,EPS,,,,,0.050724637681159424,0.08055555555555556,0.05033185840707965,,-0.013223140495867768,-0.05869200670765791,0.03827227993439038,
,Shares,,,,,1794,1800,1808,,1815,1789,1829,
,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.22634028615755897,0.25436793422404924,0.27199223803363526,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CFFO,,,,,501,820,722,,212,664,334,
,CX,,,,,95,377,190,,107,178,380,
,FCF,,,,,406,443,532,,105,486,-46,
