Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Stock,Date,Direction,Price,Conviction/Size,Current Price,%,Notes,W/L,,
,META,,LONG,,,,,,1,,
,LQDA,,LONG,,,,,,1,,
,NTLA,2023-06-02 00:00:00,LONG,40.96,8,20,,,0,,
,IMGN,2023-06-02 00:00:00,LONG,14.37,3,31.26,Acquired,,1,,
,PYPL,2023-06-02 00:00:00,LONG,63.96,3,79.5,,,0,,
,AMLX,2023-06-02 00:00:00,SHORT,25.18,3,3.25,,,1,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,SAVA,2024-09-03 00:00:00,SHORT,29.52,10,27.45,,NEW,1,,
,TARS,,LONG,,6,46.51,,NEW,1,,
,IOVA,,LONG,,3,8.14,,NEW,0,,
,NBIX,,LONG,,4,120.8,,NEW,,,
,CHGG,2024-09-15 00:00:00,LONG,,5,1.67,,NEW,,,
,DAWN,,LONG,,,13.57,,NEW,,,
,TEAM,,LONG,,3,247.02,,NEW,1,,
,ZM,,LONG,,4,78.5,,NEW,1,,
,FRSH,,LONG,,4,15.13,,NEW,1,,
,BABA,,LONG,,1,86.86,,NEW,0,,
,JAZZ,,LONG,,4,116.6,,NEW,1,,
,SLS,,SHORT,,3,1.27,,NEW,,,
,HUMA,,SHORT,,1,4.3,,NEW,1,,
,SOFI,,LONG,,3,14.71,,NEW,1,,
,HIMS,,LONG,,3,22.1,,NEW,1,,
,HOOD,,LONG,,3,37.14,,NEW,1,,
,CRL,2024-10-01 00:00:00,SHORT,194.08,1,186.55,-0.03879843363561419,NEW,1,,
,CLSD,2024-10-01 00:00:00,NEUTRAL,1.34,0,1.04,-0.22388059701492535,NEW,,,
,SAVA,2024-10-02 00:00:00,SHORT,26.94,10,27.46,0.019302152932442418,,,,
,APLT,2024-10-02 00:00:00,NEUTRAL,8.39,0,8.91,0.06197854588796181,NEW,,,
,SLS,2024-10-02 00:00:00,SHORT,1.24,3,1.27,0.024193548387096753,,0,,
,ADMA,2024-10-02 00:00:00,LONG,19.57,5,20.59,0.05212059274399583,,1,,
,KALV,2024-10-02 00:00:00,LONG,11.84,1,9.02,-0.23817567567567566,,0,,
,SLS,2024-10-03 00:00:00,SHORT,1.24,3,1.27,0.024193548387096753,,,,
,SAVA,2024-10-03 00:00:00,SHORT,26.96,10,27.46,0.0185459940652819,,,,
,TOST,2024-10-03 00:00:00,LONG,27.88,3,37.94,0.36083213773314204,CLOSED,1,,
,OTLY,2024-10-03 00:00:00,AVOID,0.83,3,0.64,-0.22891566265060237,,1,,
,YMAB,2024-10-03 00:00:00,LONG,13.52,2,10.94,-0.19082840236686394,,0,,
,HUMA,2024-10-03 00:00:00,SHORT,5.28,2,4.3,-0.18560606060606066,,,,
,CRVS,2024-10-04 00:00:00,LONG,5.64,3,8.13,0.4414893617021278,,1,,
,CRNC,2024-10-04 00:00:00,AVOID,2.68,3,2.97,0.10820895522388052,,,,
,PERI,2024-10-04 00:00:00,LONG,7.84,3,8.35,0.06505102040816313,,1,,
,RARE,2024-10-06 00:00:00,LONG,53.79,2,44.99,-0.16359918200408996,,0,,
,SRRK,2024-10-07 00:00:00,LONG,25,5,31,0.24,CLOSED,1,,
,NBIX,2024-10-07 00:00:00,LONG,112.16,5,120.38,0.07328815977175474,,1,,
,GPCR,2024-10-07 00:00:00,LONG,40.38,4,32.41,-0.19737493808816264,,0,,
,ANVS,2024-10-07 00:00:00,AVOID - SCAM,8.2,1,6.6,-0.19512195121951215,,1,,
,NMRA,2024-10-08 00:00:00,ENCRYPTED,14.49,3,13.79,-0.048309178743961456,,1,,
,RCKT,2024-10-08 00:00:00,LONG,17.25,3,12.74,-0.2614492753623189,,0,,
,MRNA,2024-10-08 00:00:00,LONG,58.39,2,37.08,-0.3649597533824286,,0,,
,INTU,2024-10-08 00:00:00,SHORT,613,1,644.65,0.0516313213703099,,0,,
,LEGN,2024-10-09 00:00:00,LONG,48.57,3,39.76,-0.18138768787317283,,0,,
,ADMA,2024-10-10 00:00:00,LONG,17.88,10,20.55,0.14932885906040272,,,,
,EB,2024-10-10 00:00:00,LONG,2.7,1,3.51,0.2999999999999998,,1,,
,ELF,2024-10-11 00:00:00,LONG,109,1,119.15,0.09311926605504595,,1,,
,ROOT,2024-10-11 00:00:00,LONG,41.74,1,82.17,0.9686152371825587,CLOSED,1,,
,ULTA,2024-10-15 00:00:00,LONG,377.18,1,340.16,-0.09814942467787258,,0,,
,BROS,2024-10-15 00:00:00,LONG,34.39,1,49.64,0.4434428612968886,,1,,
,ABT,2024-10-15 00:00:00,SHORT,116,3,115.77,-0.0019827586206896397,,1,,
,EBAY,2024-10-16 00:00:00,SHORT,67.21,3,60.84,-0.09477756286266914,,1,,
,PSO,2024-10-16 00:00:00,SHORT,13.44,2,15.09,0.1227678571428572,,0,,
,PBI,2024-10-16 00:00:00,SHORT,7.09,2,7.73,0.09026798307475326,,0,,
,ASPI,2024-10-16 00:00:00,AVOID,3.45,1,7.03,1.03768115942029,weird fraud thing getting pumped,0,,
,LUMN,2024-10-16 00:00:00,SHORT,6.2,1,7.56,0.2193548387096773,,0,,
,BHVN,2024-10-18 00:00:00,LONG,51.84,5,45.84,-0.1157407407407407,,0,,
,LNTH,2024-10-21 00:00:00,LONG,115.39,3,83.5,-0.27636710286853283,,0,,
,HUBS,2024-10-22 00:00:00,LONG,529.43,3,683,0.29006667548117804,,1,,
,TNXP,2024-10-22 00:00:00,AVOID,0.19,5,0.25,0.3157894736842106,,0,,
,EVO ST,2024-10-22 00:00:00,BUY,950,2,981.4,0.033052631578947445,,1,,
,HUMA,2024-10-22 00:00:00,SHORT,5.37,10,4.34,-0.19180633147113602,,,,
,NUVB,2024-10-23 00:00:00,LONG,2.31,4,2.52,0.09090909090909083,,1,,
,NMRA,2024-11-05 00:00:00,CLOSE,10.9,-,10.9,0,close short,,,
,ABBV,2024-11-11 00:00:00,LONG,177,4,166.03,-0.06197740112994354,,0,,
,DJT,2024-11-11 00:00:00,SHORT,,5,30.42,,,1,,
,ROOT,2024-11-11 00:00:00,CLOSE,82.17,-,82.17,,"close long, monster gain",,,
,ELF,2024-11-11 00:00:00,CLOSE,132.39,-,132.39,,"close long, nice gain",,,
,ADMA,2024-11-11 00:00:00,LOWER CONVICTION,22.42,5,20.61,,"closing short-term position, keeping long-term",,,
,CRVS,2024-11-11 00:00:00,CLOSE,9.67,-,9.67,,"close long, great gain",,,
,TOST,2024-11-11 00:00:00,CLOSE,37.94,-,37.94,,"close long, great gain",,0.6111111111111112,
,HOOD,2024-11-11 00:00:00,CLOSE,34.19,-,34.19,,"close long, great gain",,33.0,21.0
,HIMS,2024-11-11 00:00:00,CLOSE,27.73,-,27.73,,"close long, great gain",,54.0,
,SOFI,2024-11-11 00:00:00,CLOSE,14.23,-,14.23,,"close long, great gain",,,
,FRSH,2024-11-11 00:00:00,CLOSE,16.41,-,16.41,,"close long, nice gain",,0.5964912280701754,
,ZM,2024-11-11 00:00:00,CLOSE,86.02,-,86.02,,"close long, nice gain",,34.0,23.0
,PHAR,2024-11-12 00:00:00,LONG,8.18,6,7.53,,,0,57.0,
,SRPT,2025-03-24 00:00:00,LONG,74.67,4,75.12,,,,,
,AXP,2025-03-24 00:00:00,LONG,275.23,4,277.83,,,,,
,STZ,2025-03-24 00:00:00,LONG,180.28,1,179.65,,,,,
