Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,MOA,Indication,Economics,Phase,,,,,Price,18.0,
,troriluzole,,"SCA, OCD",,Filed,,,,,Shares,105.788197,Q225
,BHV-5500,NMDA antagonist,,,,,,,,MC,1904.1875459999999,
,BHV-5000,BHV-5500 prodrug,,,,,,,,Cash,404.98,Q225
,taldefgrobep alfa,myostatin adnectin,"SMA, Obesity",BMY,II,,,,,Debt,257.07,Q225
,BHV-7000,Kv7 agonist,"Epilepsy, Depression",,II,,,,,EV,1756.2775459999998,
,BHV-8000,TYK2/JAK1,"Alzheimer's, ARIA",,I,,,,,,,
,BHV-1510 (fka PBI-410,Trop-2 ADC,,,I,,,,,Founded,2022.0,
,BHV-1600,beta-1 adrenergic receptor antibody depletor,Peripartum Cardiomyopathy,,,,,,,,,
,BHV-1300,beta-1 adrenergic receptor antibody depletor,"DCM, Graves",,I,,,,,CEO: Vlad Coric,,
,BHV-1400,TRAP degrader,IgAN,,I,,,,,CMO: Irfan Qureshi,,
,BHV-1310,bispecific IgG degrader,,,,,,,,,,
,BHV-1530,FGFR3 ADC,,,I,,,,,,,
,BHV-1500,,,,,,,,,,,
,BHV-2100,TRPM3 antagonist,migraine,,I,,,,,,,
,,,,,,,,,,,,
,1H25: Laser-evoked potential results for BHV-2100,,,,,,,,,,,
,2H25: BHV-7000 depression data,,,,,,,,,,,
,1H26: BHV-7000 epilepsy data,,,,,,,,,,,
