Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107
,Operating Income,,,,,-117.72200000000001,-93.72,-89.021,-86.27000000000001,,,,,,,,,,,,218.58049999999997,435.669125,537.11530625,590.5244215625,644.1899301406249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,,,,,3.338,3.355,,9.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,,-114.38400000000001,-90.365,-89.021,-76.69500000000001,,,,,,,,,,,,218.58049999999997,435.669125,537.11530625,590.5244215625,644.1899301406249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,-1.408,-1.458,,1.558,,,,,,,,,,,,54.64512499999999,108.91728125,134.2788265625,147.631105390625,161.04748253515623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,,-112.97600000000001,-88.907,-89.021,-78.25300000000001,,,,,,,,,,,,163.93537499999996,326.75184375000003,402.8364796875,442.89331617187503,483.1424476054687,487.9738720815234,492.8536108023386,497.782146910362,502.7599683794656,507.78756806326027,512.8654437438929,517.9940981813319,523.1740391631452,528.4057795547766,533.6898373503244,539.0267357238276,544.4170030810659,549.8611731118766,555.3597848429954,560.9133826914253,566.5225165183396,572.187741683523,577.9096191003582,583.6887152913617,589.5256024442754,595.4208584687182,601.3750670534054,607.3888177239394,613.4627059011788,619.5973329601906,625.7933062897924,632.0512393526903,638.3717517462172,644.7554692636794,651.2030239563162,657.7150541958794,664.2922047378381,670.9351267852165,677.6444780530687,684.4209228335994,691.2651320619354,698.1777833825548,705.1595612163803,712.2111568285442,719.3332683968297,726.526601080798,733.7918670916059,741.129785762522,748.5410836201472,756.0264944563487,763.5867594009122,771.2226269949214,778.9348532648706,786.7242017975193,794.5914438154945,802.5373582536495,810.562731836186,818.6683591545478,826.8550427460933,835.1235931735542,843.4748291052898,851.9095773963427,860.4286731703061,869.0329599020091,877.7232895010292,886.5005223960395,895.36552762,904.3191828962,913.362374725162,922.4959984724136,931.7209584571377,941.0381680417091,950.4485497221262,959.9530352193475,969.552565571541,979.2480912272564,989.040572139529,998.9309778609243,1008.9202876395335,1019.0094905159289,1029.1995854210882,1039.491581275299,1049.886497088052,1060.3853620589325,1070.9892156795217,1081.699107836317,1092.51609891468
,EPS,,,,,-0.42437082112538504,-0.31215482221917934,-0.3125550792263102,-0.25665977893666575,,,,,,,,,,,,0.5376869526714552,1.0717040367017614,1.3212518603020762,1.4526331338249043,1.584645110057623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,266.22,284.817,284.817,304.89,,,,,,,,,,,,304.89,304.89,304.89,304.89,304.89,,,,Maturity,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROIC,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,5738.942906040191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
