Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Patent,Title,MOA,Notes
,12269857,Protein tyrosine-tyrosine analogs and methods of using the same,,
,12252524,GIP/GLP1 co-agonist compounds,,
,12122750,AT.SUB.2.R antagonists and uses thereof,AT2R antagonist,Pain
,12115210,Long acting amylin receptor agonists and uses thereof,Amylin,"Diabetes, Obesity"
,12102610,Treprostinil salt,Prostacyclin,
,12083324,,,
,12071423,"Processes and intermediate for the large-scale preparation of 2,4,6-trifluoro-N-[6-(1-methyl-piperidine-4-carbonyl)-pyridin-2-yl]-benzamide hemisuccinate, and preparation of 2,4,6-trifluoro-N-[6-(1-methyl-piperidine-4-carbonyl)-pyridin-2-yl]-benzamide acetate",5-HT1F agonist,lasmiditan for migraine
,12060356,"7 (methylamino)pyrazolo[1,5-a]pyrimidine-3-carboxamide derivatives",TYK2 antagonist,Psoriasis
,12059557,Medication delivery device with sensing system,,
,12059452,Fusion proteins,Insulin,
,12042634,Medication injection system,,
,12037406,Anti-CD137 antibodies for combination with anti-PD-L1 antibodies,,
,12037387,PAN-ELR+ CXC chemokine antibodies for the treatment of hidradenitis suppurativa,,
,12037322,AHR agonists,,
,12023470,System for controlling gas generation within a drug delivery device,,
,12011574,Medication delivery device with gear set dosage system,,
,12005235,Drug delivery systems including displaceable closures,,
,11999722,Disubstituted pyrazole compounds,,
,11993608,Selective estrogen receptor degraders,,
,11976136,IgG bispecific antibodies and processes for preparation,,
,11976114,Compounds and methods targeting interleukin-34,,
,11970485,RET kinase inhibitors,,
,11964968,Compounds useful for inhibiting RET kinase,,
,11957882,Medical delivery device with axially expandable drive ribbon,,
