Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0
,Revenue,,,253.857,274.7,290.175,308.494,335.603,362.473,378.602,400.996,430.082,460.2460000000001,,,,,,,,287.022,431.059,656.426,975.241,1296.745,1669.926,2170.9038,2605.08456,3126.101472,3438.7116192000003,3782.5827811200006,4160.841059232001,,,,,
,COGS,,,61.967,67.788,70.432,75.221,78.069,83.283,85.038,89.011,95.967,108.68600000000002,,,,,,,,63.423,101.055,147.134,232.61,307.005,378.702,499.3078740000001,599.1694487999998,719.00333856,790.9036724160001,869.9940396576003,956.9934436233602,,,,,
,Gross Profit,,,191.89,206.91199999999998,219.743,233.27300000000002,257.534,279.19,293.56399999999996,311.985,334.115,351.56000000000006,,,,,,,,223.599,330.004,509.29200000000003,742.631,989.7399999999999,1291.224,1671.595926,2005.9151112,2407.09813344,2647.8079467840003,2912.5887414624003,3203.8476156086404,,,,,
,S&M,,,116.033,132.05,137.001,146.688,150.214,165.214,194.102,174.501,185.221,191.96700000000007,,,,,,,,159.298,217.875,328.065,465.762,599.117,745.7910000000002,820.3701000000002,902.4071100000003,992.6478210000005,1091.9126031000005,1201.1038634100007,1321.2142497510008,,,,,
,R&D,,,76.432,79.703,81.539,89.61,90.593,96.401,87.703,102.547,110.911,120.21300000000002,,,,,,,,90.669,127.144,189.408,298.303,358.14300000000003,421.374,463.51140000000004,509.8625400000001,560.8487940000001,616.9336734000002,678.6270407400003,746.4897448140005,,,,,
,G&A,,,45.372,45.85,48.475,53.147,55.939,60.404,66.309,69.635,68.777,73.799,,,,,,,,81.578,91.753,119.503,179.769,217.965,278.52,217.09038,260.50845599999997,312.61014720000003,343.8711619200001,378.2582781120001,416.08410592320007,,,,,
,Operating Expenses,,,237.837,257.603,267.01500000000004,289.445,296.74600000000004,322.019,348.11400000000003,346.683,364.909,385.97900000000004,,,,,,,,331.54499999999996,436.772,636.976,943.8340000000001,1175.225,1445.6850000000002,1500.9718800000003,1672.7781060000004,1866.1067622000005,2052.7174384200007,2257.989182262001,2483.7881004882015,,,,,
,Operating Income,,,-45.947,-50.69100000000003,-47.27200000000005,-56.17199999999997,-39.212000000000046,-42.82900000000001,-54.55000000000007,-34.69799999999998,-30.793999999999983,-34.41899999999998,,,,,,,,-107.94599999999997,-106.76799999999997,-127.68399999999997,-201.2030000000001,-185.485,-154.46100000000024,170.62404599999968,333.1370051999995,540.9913712399994,595.0905083639996,654.5995592003992,720.0595151204388,,,,,
,Interest Income,,,4.773,5.936,10.504000000000001,13.470000000000002,16.931,17.018,21.275999999999996,20.766,21.038,19.150000000000013,,,,,,,,3.2329999999999997,-18.375999999999998,-47.264,10.47,57.923,82.23000000000002,82.23000000000002,82.23000000000002,82.23000000000002,82.23000000000002,82.23000000000002,82.23000000000002,,,,,
,Pretax Income,,,-41.17400000000001,-44.75500000000003,-36.76800000000004,-42.70199999999997,-22.281000000000045,-25.811000000000007,-33.27400000000007,-13.93199999999998,-9.755999999999982,-15.26899999999997,,,,,,,,-104.71299999999997,-125.14399999999998,-174.94799999999998,-190.7330000000001,-127.56200000000001,-72.23100000000022,252.8540459999997,415.36700519999954,623.2213712399994,677.3205083639996,736.8295592003992,802.2895151204389,,,,,
,Taxes,,,1.372,1.314,1.314,1.465,1.254,2.054,2.269,1.146,2.509,2.005,,,,,,,,1.115,-5.603,12.333,2.648,6.087,7.928999999999999,25.28540459999997,41.536700519999954,62.32213712399994,67.73205083639996,73.68295592003993,80.22895151204389,,,,,
,Net Income,,,-42.54600000000001,-46.06900000000003,-38.08200000000004,-44.16699999999997,-23.535000000000046,-27.865000000000006,-35.54300000000007,-15.077999999999982,-12.264999999999983,-17.27399999999997,,,,,,,,-105.82799999999996,-119.54099999999998,-187.28099999999998,-193.38100000000009,-133.649,192.83999999999978,500.5686413999997,646.8303046799996,833.8992341159994,882.5884575275996,936.1466032803593,995.060563608395,,,,,
,EPS,,,-0.1302734315196424,-0.13943866169878547,-0.11526412804300398,-0.1329142303421336,-0.07032384526662418,-0.08278913060271322,-0.10497573711615783,-0.04426269932599041,-0.03582528128614654,-0.0505959093292248,,,,,,,,-0.7233332877667351,-0.3987704070399701,-0.5996426753244257,-0.592589755218612,-0.40055925863763875,0.565928930196522,1.4690223797833883,1.8982575313536765,2.447250059401406,2.590138672331433,2.7473161465544607,2.9202113681997917,,,,,
,Shares,,,326.59,330.389,330.389,332.297,334.666,336.578,338.583,340.648,342.356,341.411,,,,,,,,146.306,299.774,312.321,326.332,333.656,340.7495,340.7495,340.7495,340.7495,340.7495,340.7495,340.7495,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.322015938106887,0.3195231161266838,0.3047367967605754,0.29985024019916096,0.28152012943865223,0.2697387115730001,,,,,,,,,0.5018326121342616,0.5228217019015959,0.4856830777574317,0.32966620558405557,0.2877828717288289,0.30000000000000004,0.19999999999999996,0.19999999999999996,0.10000000000000009,0.10000000000000009,0.09999999999999987,,,,,
,Gross Margin,,,,,,,0.7673769304803592,0.7702366796975223,0.775389459115377,0.7780252172091493,0.7768634818476476,0.7638523745996706,,,,,,,,0.7790308756820035,0.7655657346210147,0.7758559228306009,0.7614845971406042,0.7632495209158315,0.7732222864965274,0.77,0.77,0.77,0.77,0.7699999999999999,0.77,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,36.414,64.451,153.541,0,73.579,74.81500000000001,,,,,,,,,,,,64.648,123.595,254.406,380.429,760.858,989.1153999999999,1285.8500199999999,1671.605026,2173.0865338,2825.01249394,,,,,
,CapEx,,,,,17.541,38.748000000000005,58.107,0,32.056,29.625,,,,,,,,,,,,,143.606,114.396,185.037,,,,,,,,,,,
,FCF,,,,,18.873,25.70299999999999,95.434,0,41.522999999999996,45.19000000000001,,,,,,,,,,,,,-20.010999999999996,140.01,195.39199999999997,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SBC,,,,,,,,,,,,,,,,,,,,,,,,273989.0,,,,,,,,,,,,
,PP&E,,,,,,,,,,,,,,,,,,,,,,,,,467.42,,,,,,,,,,,
